component_type,component_name,component_link,Capacity,Form_Factor,Inferred_Tested_and_run_inhouse_at_PCP,Interface,Manufacturer,NVME,Part_#_#,Price_GB,Type
,TEAMGROUP T-Force Cardea A440 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/CdYmP6/teamgroup-t-force-cardea-a440-pro-2-tb-m2-2280-nvme-solid-state-drive-tm8fpr002t0c129,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,TEAMGROUP,Yes,TM8FPR002T0C129,,SSD
,Kingston NV2 500 GB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/QvpzK8/kingston-nv2-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s500g,500 GB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SNV2S/500G,,SSD
,ADATA XPG GAMMIX S70 Blade 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/qCqPxr/adata-xpg-gammix-s70-blade-2-tb-m2-2280-nvme-solid-state-drive-agammixs70b-2t-cs,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,ADATA,Yes,AGAMMIXS70B-2T-CS,$0.06 ,SSD
,Crucial T700 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/8hkH99/crucial-t700-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t700ssd3,2 TB,M.2-2280,,M.2 PCIe 5.0 X4,Crucial,Yes,CT2000T700SSD3,$0.11 ,SSD
,"Seagate FireCuda 120 500 GB 2.5"" SSD",https://pcpartpicker.com/product/bpZzK8/seagate-firecuda-120-500-gb-25-solid-state-drive-za500gm10001,500 GB,"2.5""",,SATA 6.0 Gb/s,Seagate,No,ZA500GM10001; ZA500GM1A001,$0.33 ,SSD
,Western Digital Black SN770 500 GB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/nWC48d/western-digital-500-gb-m2-2280-nvme-solid-state-drive-wds500g3x0e,500 GB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS500G3X0E; WDS500G3X0E-00B3N0,$0.10 ,SSD
,Western Digital Blue SN550 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/BhmFf7/western-digital-blue-sn550-1-tb-m2-2280-nvme-solid-state-drive-wds100t2b0c,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Western Digital,Yes,WDS100T2B0C,$0.13 ,SSD
,Lexar NM790 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/cDJp99/lexar-nm790-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x004t-rnnng,4 TB,M.2-2280,,M.2 PCIe 4.0 X4,Lexar,Yes,LNM790X004T-RNNNG; LNM790X004T-RNNNU,$0.06 ,SSD
,Crucial T500 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/M8yH99/crucial-t500-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct2000t500ssd8,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Crucial,Yes,CT2000T500SSD8,$0.07 ,SSD
,"Samsung 850 Evo 500 GB 2.5"" SSD",https://pcpartpicker.com/product/FrH48d/samsung-internal-hard-drive-mz75e500bam,500 GB,"2.5""",,SATA 6.0 Gb/s,Samsung,No,MZ-75E500B/AM; MZ-75E500B/EU; MZ-75E500BW/EU; MZ-75E500BW; MZ-75E500B,,SSD
,Samsung 980 250 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/VMbTwP/samsung-980-250-gb-m2-2280-nvme-solid-state-drive-mz-v8v250bam,250 GB,M.2-2280,,M.2 PCIe 3.0 X4,Samsung,Yes,MZ-V8V250B/AM; MZ-V8V250BW,$0.23 ,SSD
,"Samsung 870 QVO 1 TB 2.5"" SSD",https://pcpartpicker.com/product/37FKHx/samsung-870-qvo-1-tb-25-solid-state-drive-mz-77q1t0bam,1 TB,"2.5""",,SATA 6.0 Gb/s,Samsung,No,MZ-77Q1T0B/AM,$0.11 ,SSD
,Western Digital Blue SN550 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/BhmFf7/western-digital-blue-sn550-1-tb-m2-2280-nvme-solid-state-drive-wds100t2b0c,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Western Digital,Yes,WDS100T2B0C,$0.13 ,SSD
,Samsung 980 500 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/m6rRsY/samsung-980-500-gb-m2-2280-nvme-solid-state-drive-mz-v8v500bam,500 GB,M.2-2280,,M.2 PCIe 3.0 X4,Samsung,Yes,MZ-V8V500B/AM; MZ-V8V500BW,$0.13 ,SSD
,Verbatim Vi7000G 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/XpWJ7P/verbatim-vi7000g-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-49369,4 TB,M.2-2280,,M.2 PCIe 4.0 X4,Verbatim,Yes,49369,$0.06 ,SSD
,Western Digital Black SN770 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/YVytt6/western-digital-1-tb-m2-2280-nvme-solid-state-drive-wds100t3x0e,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS100T3X0E; WDS100T3X0E-00B3N0,$0.07 ,SSD
,Western Digital WD_Black SN850X 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/DyhFf7/western-digital-wd_black-sn850x-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t2x0e,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS100T2X0E; WDBB9G0010BNC-WRSN; WDS100T2X0E-00BCA0,$0.10 ,SSD
,Silicon Power UD90 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/4kpzK8/silicon-power-ud90-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp01kgbp44ud9005,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Silicon Power,Yes,SP01KGBP44UD9005; SU01KGBP44UD9005SN; SU01KGBP44UD9005BH,$0.06 ,SSD
,Crucial P3 Plus 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/chzhP6/crucial-p3-plus-1-tb-m2-2280-nvme-solid-state-drive-ct1000p3pssd8,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Crucial,Yes,CT1000P3PSSD8,$0.06 ,SSD
,Solidigm P44 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/vrTp99/solidigm-p44-pro-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ssdpfkkw010x7x1,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Solidigm,Yes,SSDPFKKW010X7X1,$0.13 ,SSD
,PNY CS2150 1 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/pcfV3C/pny-cs2150-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-m280cs2150-1tb-tb,1 TB,M.2-2280,,M.2 PCIe 5.0 X4,PNY,Yes,M280CS2150-1TB-TB,$0.10 ,SSD
,Western Digital WD_Black SN850X 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/yBC48d/western-digital-wd_black-sn850x-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t2x0e,4 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS400T2X0E; WDBB9G0040BNC-WRSN; WDS400T2X0E-00BCA0,$0.07 ,SSD
,Silicon Power A60 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/7tCFf7/silicon-power-a60-1-tb-m2-2280-nvme-solid-state-drive-sp001tbp34a60m28,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Silicon Power,Yes,SP001TBP34A60M28,$0.05 ,SSD
,"Samsung 850 Evo 500 GB 2.5"" SSD",https://pcpartpicker.com/product/FrH48d/samsung-internal-hard-drive-mz75e500bam,500 GB,"2.5""",,SATA 6.0 Gb/s,Samsung,No,MZ-75E500B/AM; MZ-75E500B/EU; MZ-75E500BW/EU; MZ-75E500BW; MZ-75E500B,,SSD
,Kingston NV3 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/gdBzK8/kingston-nv3-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv3s2000g,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SNV3S/2000G,$0.06 ,SSD
,Western Digital WD_Black SN850X 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/yBC48d/western-digital-wd_black-sn850x-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t2x0e,4 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS400T2X0E; WDBB9G0040BNC-WRSN; WDS400T2X0E-00BCA0,$0.07 ,SSD
,Western Digital Black SN770 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/YVytt6/western-digital-1-tb-m2-2280-nvme-solid-state-drive-wds100t3x0e,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS100T3X0E; WDS100T3X0E-00B3N0,$0.07 ,SSD
,Western Digital WD_Black SN850X 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/yBC48d/western-digital-wd_black-sn850x-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t2x0e,4 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS400T2X0E; WDBB9G0040BNC-WRSN; WDS400T2X0E-00BCA0,$0.07 ,SSD
,ADATA XPG GAMMIX S70 Blade 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/qCqPxr/adata-xpg-gammix-s70-blade-2-tb-m2-2280-nvme-solid-state-drive-agammixs70b-2t-cs,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,ADATA,Yes,AGAMMIXS70B-2T-CS,$0.06 ,SSD
,Corsair MP600 PRO LPX 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/txjBD3/corsair-mp600-pro-lpx-1-tb-m2-2280-nvme-solid-state-drive-cssd-f1000gbmp600plp,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Corsair,Yes,CSSD-F1000GBMP600PLP,$0.10 ,SSD
,Intel 660p 1.02 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/9nhKHx/intel-660p-series-1tb-m2-2280-solid-state-drive-ssdpeknw010t8x1,1.02 TB,M.2-2280,,M.2 PCIe 3.0 X4,Intel,Yes,SSDPEKNW010T8X1,$0.10 ,SSD
,Kingston KC3000 1.024 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/ccFbt6/kingston-kc3000-1024-tb-m2-2280-nvme-solid-state-drive-skc3000s1024g,1.024 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SKC3000S/1024G,$0.09 ,SSD
,Samsung 990 EVO 2 TB M.2-2280 PCIe 5.0 X2 NVME SSD,https://pcpartpicker.com/product/kFrqqs/samsung-990-evo-2-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9e2t0bam,2 TB,M.2-2280,,M.2 PCIe 5.0 X2,Samsung,Yes,MZ-V9E2T0B/AM; MZ-V9E2T0B; MZ-V9E2T0BW,$0.07 ,SSD
,Western Digital Blue SN580 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/rqhv6h/western-digital-blue-sn580-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t3b0e,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS100T3B0E; WDS100T3B0E-00CHF0,$0.06 ,SSD
,Western Digital Black SN850 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/W69tt6/western-digital-black-sn850-1-tb-m2-2280-nvme-solid-state-drive-wds100t1x0e,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS100T1X0E,$0.13 ,SSD
,ADATA XPG GAMMIX S70 Blade 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/qCqPxr/adata-xpg-gammix-s70-blade-2-tb-m2-2280-nvme-solid-state-drive-agammixs70b-2t-cs,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,ADATA,Yes,AGAMMIXS70B-2T-CS,$0.06 ,SSD
,Western Digital Black SN770 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/4KRYcf/western-digital-2-tb-m2-2280-nvme-solid-state-drive-wds200t3x0e,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T3X0E; WDS200T3X0E-00B3N0,$0.06 ,SSD
,"TEAMGROUP T-Force Delta Max White RGB Lite 1 TB 2.5"" SSD",https://pcpartpicker.com/product/zvGbt6/teamgroup-delta-max-white-rgb-lite-1-tb-25-solid-state-drive-t253tm001t0c425,1 TB,"2.5""",,SATA 6.0 Gb/s,TEAMGROUP,No,T253TM001T0C425,$0.05 ,SSD
,Samsung 980 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/mKBG3C/samsung-980-1-tb-m2-2280-nvme-solid-state-drive-mz-v8v1t0bam,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Samsung,Yes,MZ-V8V1T0B/AM; MZ-V8V1T0BW,$0.11 ,SSD
,"Corsair Force LE 240 GB 2.5"" SSD",https://pcpartpicker.com/product/GGL7YJ/corsair-internal-hard-drive-cssdf240gbleb,240 GB,"2.5""",,SATA 6.0 Gb/s,Corsair,No,CSSD-F240GBLEB,,SSD
,Crucial P2 2 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/QggQzy/crucial-p2-2-tb-m2-2280-nvme-solid-state-drive-ct2000p2ssd8,2 TB,M.2-2280,,M.2 PCIe 3.0 X4,Crucial,Yes,CT2000P2SSD8,$0.10 ,SSD
,Western Digital Blue SN580 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/266NnQ/western-digital-blue-sn580-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t3b0e,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T3B0E; WDS200T3B0E-00CHF0,$0.06 ,SSD
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
,Silicon Power A60 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/7tCFf7/silicon-power-a60-1-tb-m2-2280-nvme-solid-state-drive-sp001tbp34a60m28,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Silicon Power,Yes,SP001TBP34A60M28,$0.05 ,SSD
,Kingston NV3 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/gdBzK8/kingston-nv3-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv3s2000g,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SNV3S/2000G,$0.06 ,SSD
,Corsair MP600 PRO LPX 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/txjBD3/corsair-mp600-pro-lpx-1-tb-m2-2280-nvme-solid-state-drive-cssd-f1000gbmp600plp,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Corsair,Yes,CSSD-F1000GBMP600PLP,$0.10 ,SSD
,Intel 660p 1.02 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/9nhKHx/intel-660p-series-1tb-m2-2280-solid-state-drive-ssdpeknw010t8x1,1.02 TB,M.2-2280,,M.2 PCIe 3.0 X4,Intel,Yes,SSDPEKNW010T8X1,$0.10 ,SSD
,Kingston KC3000 1.024 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/ccFbt6/kingston-kc3000-1024-tb-m2-2280-nvme-solid-state-drive-skc3000s1024g,1.024 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SKC3000S/1024G,$0.09 ,SSD
,Samsung 990 EVO 2 TB M.2-2280 PCIe 5.0 X2 NVME SSD,https://pcpartpicker.com/product/kFrqqs/samsung-990-evo-2-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9e2t0bam,2 TB,M.2-2280,,M.2 PCIe 5.0 X2,Samsung,Yes,MZ-V9E2T0B/AM; MZ-V9E2T0B; MZ-V9E2T0BW,$0.07 ,SSD
,Western Digital Blue SN580 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/rqhv6h/western-digital-blue-sn580-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t3b0e,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS100T3B0E; WDS100T3B0E-00CHF0,$0.06 ,SSD
,Western Digital Black SN850 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/W69tt6/western-digital-black-sn850-1-tb-m2-2280-nvme-solid-state-drive-wds100t1x0e,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS100T1X0E,$0.13 ,SSD
,Western Digital Black SN770 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/4KRYcf/western-digital-2-tb-m2-2280-nvme-solid-state-drive-wds200t3x0e,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T3X0E; WDS200T3X0E-00B3N0,$0.06 ,SSD
,"TEAMGROUP T-Force Delta Max White RGB Lite 1 TB 2.5"" SSD",https://pcpartpicker.com/product/zvGbt6/teamgroup-delta-max-white-rgb-lite-1-tb-25-solid-state-drive-t253tm001t0c425,1 TB,"2.5""",,SATA 6.0 Gb/s,TEAMGROUP,No,T253TM001T0C425,$0.05 ,SSD
,Samsung 980 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/mKBG3C/samsung-980-1-tb-m2-2280-nvme-solid-state-drive-mz-v8v1t0bam,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Samsung,Yes,MZ-V8V1T0B/AM; MZ-V8V1T0BW,$0.11 ,SSD
,"Corsair Force LE 240 GB 2.5"" SSD",https://pcpartpicker.com/product/GGL7YJ/corsair-internal-hard-drive-cssdf240gbleb,240 GB,"2.5""",,SATA 6.0 Gb/s,Corsair,No,CSSD-F240GBLEB,,SSD
,Crucial P2 2 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/QggQzy/crucial-p2-2-tb-m2-2280-nvme-solid-state-drive-ct2000p2ssd8,2 TB,M.2-2280,,M.2 PCIe 3.0 X4,Crucial,Yes,CT2000P2SSD8,$0.10 ,SSD
,Western Digital Blue SN580 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/266NnQ/western-digital-blue-sn580-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t3b0e,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T3B0E; WDS200T3B0E-00CHF0,$0.06 ,SSD
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
