Build Title,CPU_component_name,CPU_Core_Count,CPU_Performance_Core_Clock,CPU_Socket,CPU Cooler_component_name,CPU Cooler_Water_Cooled,CPU Cooler_Radiator_Size_mm,CPU Cooler_Noise_Level,Case_component_name,Case_Type,Case_Height_mm,Case_Width_mm,Case_Depth_mm,Case_ATX,Case_Mini ITX,Memory_component_name,Memory_Speed,Memory_Form_Factor,Memory_Modules,Motherboard_component_name,Motherboard_Chipset,Motherboard_Form_Factor,Motherboard_Memory_Speed,Power Supply_component_name,Power Supply_Wattage,Power Supply_Efficiency_Rating,Power Supply_Modular,Storage_component_name,Storage_Capacity,Storage_Form_Factor,Storage_NVME,Video Card_component_name,Video Card_Chipset,Video Card_Memory,Video Card_TDP
$700 USD build for my brother's girlfriend,AMD Ryzen 5 5600X 3.7 GHz 6-Core,6,3700,AM4,Deepcool GAMMAXX AG400 ARGB 75.89 CFM,False,0.0,31.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TEAMGROUP T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,3600,DDR4,2 x 8GB,Asus PRIME B550M-A WIFI II Micro ATX AM4,AMD B550,Micro ATX,4866,Unknown,Unknown,Unknown,Unknown,FanXiang S880 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 6750 XT,12,250
'Gators Edition' Thermaltake Tower 100 m-ITX Gaming Build,Intel Core i5-13500 2.5 GHz 14-Core,14,2500,LGA1700,Unknown,Unknown,Unknown,Unknown,Thermaltake The Tower 100 Mini ITX Tower,Mini ITX Tower,266.0,266.0,462.8,0,1,G.Skill Ripjaws S5 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock Z690 Phantom Gaming-ITX/TB4 Mini ITX LGA1700,Intel Z690,Mini ITX,6400,Unknown,Unknown,Unknown,Unknown,Samsung 980 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4060 Ti,16,165
*Black Widow*,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,Corsair 4000D Airflow ATX Mid Tower,ATX Mid Tower,453.0,230.0,466.0,1,1,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,6000,DDR5,2 x 16GB,Gigabyte B650 GAMING X AX ATX AM5,AMD B650,ATX,6400,Unknown,0.0,Unknown,Unknown,Samsung 980 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Sapphire NITRO+ Radeon RX 7800 XT 16 GB,Radeon RX 7800 XT,16,288
"- ""LIGHTBASE"" - 9950X3D - RTX 5090 -",AMD Ryzen 9 9950X3D 4.3 GHz 16-Core,16,4300,AM5,Unknown,Unknown,Unknown,Unknown,be quiet! Light Base 900 DX ATX Full Tower,ATX Full Tower,532.0,327.0,484.0,1,1,G.Skill Trident Z5 Neo RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,6000,DDR5,2 x 32GB,ASRock X870E Taichi EATX AM5,AMD X870E,EATX,8200,MSI MEG Ai-T PCIE5 1600 W 80+ Titanium Certified Fully Modular ATX,1600.0,80+ Titanium,Fully Modular,Crucial T705 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 5090,32,575
01 - Desktop PC (2024 version),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fractal Design Define 7 XL ATX Full Tower,ATX Full Tower,604.0,240.0,566.0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Crucial P3 Plus 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,4000,M.2-2280,True,Unknown,GeForce RTX 4070 Ti,12,285
1 Year update/refresh of https://pcpartpicker.com/b/sPQD4D,AMD Ryzen 9 7950X 4.5 GHz 16-Core,16,4500,AM5,Unknown,Unknown,Unknown,Unknown,Corsair 5000D AIRFLOW ATX Mid Tower,ATX Mid Tower,520.0,245.0,520.0,1,1,G.Skill Trident Z5 Neo 64 GB (2 x 32 GB) DDR5-6000 CL30,6000,DDR5,2 x 32GB,Asus PRIME X670E-PRO WIFI ATX AM5,AMD X670E,ATX,6400,Unknown,Unknown,Unknown,Unknown,Samsung 980 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4090,24,450
1'000€ golden beast - (used GPU),AMD Ryzen 7 5800X 3.8 GHz 8-Core,8,3800,AM4,Unknown,Unknown,Unknown,Unknown,Montech XR ATX Mid Tower,ATX Mid Tower,435.0,230.0,450.0,1,1,Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3200 CL16,3200,DDR4,2 x 16GB,MSI B550M PRO-VDH Micro ATX AM4,AMD B550,Micro ATX,4400,MSI MAG A750GL PCIE5 750 W 80+ Gold Certified Fully Modular ATX,750.0,80+ Gold,Fully Modular,Western Digital Black SN770 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Asus STRIX GAMING OC GeForce RTX 3080 10GB 10 GB,GeForce RTX 3080 10GB,10,320
1080p solidPC,AMD Ryzen 5 5500 3.6 GHz 6-Core,6,3600,AM4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3600 CL16,3600,DDR4,2 x 8GB,MSI B550-A PRO ATX AM4,AMD B550,ATX,4400,MSI MAG A550BN 550 W 80+ Bronze Certified ATX,550.0,80+ Bronze,Non Modular,Lexar NM620 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,Sapphire PULSE Radeon RX 6600 8 GB,Radeon RX 6600,8,140
11900k/3080 CyberPower Case Sawp,Intel Core i9-11900K 3.5 GHz 8-Core,8,3500,LGA1200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Crucial Ballistix Sport LT 32 GB (4 x 8 GB) DDR4-3200 CL16,3200,DDR4,4 x 8GB,Gigabyte Z590 UD AC ATX LGA1200,Intel Z590,ATX,5000,Unknown,Unknown,Unknown,Unknown,Crucial P5 Plus 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Gigabyte AORUS MASTER GeForce RTX 3080 10GB 10 GB,GeForce RTX 3080 10GB,10,320
12400f RX 7700XT,Intel Core i5-12400F 2.5 GHz 6-Core,6,2500,LGA1700,Unknown,Unknown,Unknown,Unknown,Antec CX200M RGB ELITE ATX Mid Tower,ATX Mid Tower,350.0,210.0,392.0,0,1,Patriot Viper Steel 32 GB (2 x 16 GB) DDR4-3200 CL16,3200,DDR4,2 x 16GB,Asus PRIME B660M-A WIFI D4 Micro ATX LGA1700,Intel B660,Micro ATX,5333,MSI MAG A650BN 650 W 80+ Bronze Certified ATX,650.0,80+ Bronze,Non Modular,"Crucial BX500 1 TB 2.5"" SSD",1000,"2.5""",False,Unknown,Radeon RX 7700 XT,12,245
1440P Destroyer. (Upgrade from 3070Ti),AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Unknown,Unknown,Unknown,Unknown,Antec C8 ATX Full Tower,ATX Full Tower,464.0,303.0,476.0,1,1,TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Gigabyte B650 GAMING X AX V2 ATX AM5,AMD B650,ATX,8000,Montech TITAN GOLD 850W 850 W 80+ Gold Certified Fully Modular ATX,850.0,80+ Gold,Fully Modular,Lexar NM790 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 5070 Ti,16,300
1440p AMD build,AMD Ryzen 7 7700 3.6 GHz 8-Core,8,3600,AM5,Unknown,Unknown,Unknown,Unknown,Antec C5 ARGB ATX Mid Tower,ATX Mid Tower,0.0,0.0,0.0,1,1,G.Skill Ripjaws M5 RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Asus TUF GAMING B650M-E WIFI Micro ATX AM5,AMD B650,Micro ATX,6400,Unknown,0.0,Unknown,Unknown,Samsung 990 EVO Plus 2 TB M.2-2280 PCIe 5.0 X2 NVME SSD,2000,M.2-2280,True,Sapphire NITRO+ Radeon RX 7800 XT 16 GB,Radeon RX 7800 XT,16,288
1440p Pusher,AMD Ryzen 7 5700X 3.4 GHz 8-Core,8,3400,AM4,Unknown,Unknown,Unknown,Unknown,Phanteks XT PRO ULTRA ATX Mid Tower,ATX Mid Tower,450.0,230.0,500.0,1,1,Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18,3600,DDR4,2 x 16GB,Gigabyte B550 GAMING X V2 ATX AM4,AMD B550,ATX,4733,Unknown,Unknown,Unknown,Unknown,Crucial P3 Plus 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 6800,16,250
1440p White Fishtank Build,AMD Ryzen 5 7600 3.8 GHz 6-Core,6,3800,AM5,Thermalright Frozen Notte ARGB 72.37 CFM Liquid,True,360.0,27.7,Antec C8 ATX Full Tower,ATX Full Tower,464.0,303.0,476.0,1,1,ADATA XPG LANCER RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock B650 Steel Legend WiFi ATX AM5,AMD B650,ATX,7200,Unknown,Unknown,Unknown,Unknown,TEAMGROUP T-Force Cardea A440 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,Radeon RX 7900 GRE,16,260
1440p and 4k PC Build 2023 - 2024,AMD Ryzen 7 5800X3D 3.4 GHz 8-Core,8,3400,AM4,Unknown,Unknown,Unknown,Unknown,Lian Li LANCOOL 216 RGB ATX Mid Tower,ATX Mid Tower,480.9,235.0,491.7,1,1,Patriot Viper Steel 16 GB (2 x 8 GB) DDR4-3600 CL18,3600,DDR4,2 x 8GB,Asus ROG STRIX B550-F GAMING ATX AM4,AMD B550,ATX,5000,Unknown,Unknown,Unknown,Unknown,Kingston NV2 500 GB M.2-2280 PCIe 4.0 X4 NVME SSD,500,M.2-2280,True,Unknown,Radeon RX 7900 XT,20,368
1st Build,Intel Core i7-10700K 3.8 GHz 8-Core,8,3800,LGA1200,Unknown,Unknown,Unknown,Unknown,Corsair iCUE 465X RGB ATX Mid Tower,ATX Mid Tower,0.0,0.0,0.0,1,1,Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,3600,DDR4,2 x 16GB,Gigabyte Z490 AORUS ULTRA ATX LGA1200,Intel Z490,ATX,5000,Unknown,Unknown,Unknown,Unknown,Samsung 980 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Asus STRIX GAMING GeForce RTX 3070 8 GB,GeForce RTX 3070,8,220
1st Build - AM5 for the future,AMD Ryzen 5 7600 3.8 GHz 6-Core,6,3800,AM5,Unknown,Unknown,Unknown,Unknown,Lian Li Lancool 207 ATX Mid Tower,ATX Mid Tower,455.6,219.0,456.0,1,1,ADATA XPG Lancer Blade 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock B850 Pro RS WiFi ATX AM5,AMD B850,ATX,8000,Unknown,Unknown,Unknown,Unknown,ADATA XPG GAMMIX S70 Blade 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,MSI RADEON RX VEGA 64 8G Radeon RX VEGA 64 8 GB,Radeon RX VEGA 64,8,295
1st Build - Link,AMD Ryzen 9 9950X3D 4.3 GHz 16-Core,16,4300,AM5,Unknown,Unknown,Unknown,Unknown,Corsair 2500X MicroATX Mini Tower,MicroATX Mini Tower,479.0,304.0,376.0,0,1,Corsair Vengeance RGB 64 GB (2 x 32 GB) DDR5-6400 CL32,6400,DDR5,2 x 32GB,ASRock B850M Pro RS Micro ATX AM5,AMD B850,Micro ATX,8000,Unknown,0.0,Unknown,Unknown,Crucial T700 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 5080,16,360
1st Build Final Revision,AMD Ryzen 5 2600 3.4 GHz 6-Core,6,3400,AM4,Unknown,Unknown,Unknown,Unknown,Rosewill SPECTRA X ATX Mid Tower,ATX Mid Tower,0.0,0.0,0.0,1,1,TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,MSI B450M PRO-VDH Micro ATX AM4,AMD B450,Micro ATX,3466,GAMDIAS KRATOS M1 B 550 W 80+ Bronze Certified ATX,550.0,80+ Bronze,Non Modular,"Seagate FireCuda 120 500 GB 2.5"" SSD",500,"2.5""",False,Unknown,GeForce GTX 1660,6,120
1st Build with Upgrades,AMD Ryzen 7 3800XT 3.9 GHz 8-Core,8,3900,AM4,Unknown,Unknown,Unknown,Unknown,ABKONCORE C750 ATX Mid Tower,ATX Mid Tower,360.0,205.0,437.0,1,1,G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,MSI MPG X570 GAMING EDGE WIFI ATX AM4,AMD X570,ATX,4400,Unknown,Unknown,Unknown,Unknown,Western Digital Blue SN580 250 GB M.2-2280 PCIe 4.0 X4 NVME SSD,250,M.2-2280,True,Unknown,GeForce GTX 1080,8,180
1st Gaming PC Build,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Thermalright Frozen Edge 69 CFM Liquid,True,360.0,28.1,NZXT H9 Flow ATX Mid Tower,ATX Mid Tower,466.0,290.0,495.0,1,1,G.Skill Trident Z5 Neo RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,6000,DDR5,2 x 32GB,ASRock X670E Taichi Carrara EATX AM5,AMD X670E,EATX,6400,Unknown,Unknown,Unknown,Unknown,Crucial T705 1 TB M.2-2280 PCIe 5.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 7900 GRE,16,275
1st PC Build,AMD Ryzen 7 7700X 4.5 GHz 8-Core,8,4500,AM5,Deepcool LS720 SE 85.85 CFM Liquid,True,360.0,30.549999999999997,NZXT H6 Flow ATX Mid Tower,ATX Mid Tower,415.0,287.0,435.0,1,1,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL32,6000,DDR5,2 x 16GB,Gigabyte B650 GAMING X AX V2 ATX AM5,AMD B650,ATX,8000,MSI MAG A750GL PCIE5 750 W 80+ Gold Certified Fully Modular ATX,750.0,80+ Gold,Fully Modular,Kingston NV2 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 7800 XT,16,263
1st PC Gamer,Intel Core i7-14700KF 3.4 GHz 20-Core,20,3400,LGA1700,Lian Li Galahad II Trinity 79.9 CFM Liquid,True,240.0,35.4,Lian Li Lancool 207 ATX Mid Tower,ATX Mid Tower,455.6,219.0,456.0,1,1,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-5600 CL40,5600,DDR5,2 x 16GB,MSI B760M GAMING PLUS WIFI Micro ATX LGA1700,Intel B760,Micro ATX,6800,MSI MAG A850GL PCIE5 850 W 80+ Gold Certified Fully Modular ATX,850.0,80+ Gold,Fully Modular,Western Digital Black SN770 500 GB M.2-2280 PCIe 4.0 X4 NVME SSD,500,M.2-2280,True,Unknown,GeForce RTX 5080,16,360
1st custom build,AMD Ryzen 7 7700X 4.5 GHz 8-Core,8,4500,AM5,Unknown,Unknown,Unknown,Unknown,Deepcool CH560 ATX Mid Tower,ATX Mid Tower,458.0,230.0,471.0,1,1,TEAMGROUP T-Force Vulcan 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Gigabyte B650 EAGLE AX ATX AM5,AMD B650,ATX,7600,Unknown,Unknown,Unknown,Unknown,Western Digital Blue SN550 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4070 SUPER,12,220
1st pc,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,NZXT H5 Flow RGB (2023) ATX Mid Tower,ATX Mid Tower,446.0,227.0,464.0,1,1,G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI MAG X670E TOMAHAWK WIFI ATX AM5,AMD X670E,ATX,6600,Unknown,Unknown,Unknown,Unknown,Lexar NM790 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,4000,M.2-2280,True,Unknown,GeForce RTX 4070 SUPER,12,220
2-Tone NZXT H6 FLOW: Gaming PC,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,NZXT H6 Flow ATX Mid Tower,ATX Mid Tower,415.0,287.0,435.0,1,1,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,AMD B650,ATX,6400,Unknown,Unknown,Unknown,Unknown,Crucial T500 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4070 Ti SUPER,16,285
2017 Intel Core i7-7700K Build,Intel Core i7-7700K 4.2 GHz Quad-Core,4,4200,LGA1151,Unknown,Unknown,Unknown,Unknown,Cooler Master HAF 932 ATX Full Tower,ATX Full Tower,560.0,243.0,564.0,1,1,G.Skill Ripjaws V 16 GB (1 x 16 GB) DDR4-3200 CL16,3200,DDR4,1 x 16GB,Asus STRIX Z270F ATX LGA1151,Intel Z270,ATX,3866,Unknown,Unknown,Unknown,Unknown,"Samsung 850 Evo 500 GB 2.5"" SSD",500,"2.5""",False,Unknown,GeForce GTX 1080,8,180
2018 build,Intel Core i7-8700K 3.7 GHz 6-Core,6,3700,LGA1151,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-2666 CL16,2666,DDR4,2 x 8GB,Asus ROG STRIX Z370-F GAMING ATX LGA1151,Intel Z370,ATX,4000,Unknown,Unknown,Unknown,Unknown,"Crucial MX500 250 GB 2.5"" SSD",250,"2.5""",False,Unknown,GeForce GTX 1080,8,180
2020 2nd PC Build,AMD Ryzen 7 3700X 3.6 GHz 8-Core,8,3600,AM4,Unknown,Unknown,Unknown,Unknown,Corsair iCUE 220T RGB ATX Mid Tower,ATX Mid Tower,395.0,210.0,450.0,1,1,Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,3600,DDR4,2 x 16GB,Asus ROG STRIX B450-F GAMING ATX AM4,AMD B450,ATX,3200,Unknown,Unknown,Unknown,Unknown,"Seagate BarraCuda 4 TB 3.5"" 5400 RPM",4000,"3.5""",False,Asus DUAL OC GeForce RTX 3070 8 GB,GeForce RTX 3070,8,220
