component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Inferred_,Interface,Length,Manufacturer,Memory,Memory_Type,Part_#_#,SLI_CrossFire,TDP,Total_Slot_Width,,,
,https://pcpartpicker.com/product/Bvjv6h/sapphire-pulse-radeon-rx-9070-xt-16-gb-video-card-11348-03-20g,2970 MHz,3,Radeon RX 9070 XT,Black,3 Fans,2400 MHz,,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11348-03-20G,,304 W,3,,,
,https://pcpartpicker.com/product/KvcgXL/gigabyte-windforce-oc-geforce-rtx-4070-ti-super-16-gb-video-card-gv-n407tswf3oc-16gd,2625 MHz,2,GeForce RTX 4070 Ti SUPER,Black,3 Fans,2340 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,261 mm,Gigabyte,16 GB,GDDR6X,GV-N407TSWF3OC-16GD,,285 W,3,,,
,https://pcpartpicker.com/product/yPpmP6/msi-geforce-rtx-3090-24-gb-gaming-x-trio-video-card-rtx-3090-gaming-x-trio-24g,,2,GeForce RTX 3090,Black,3 Fans,1395 MHz,3,,3 x PCIe 8-pin,G-Sync,1,,PCIe x16,335 mm,MSI,24 GB,GDDR6X,RTX 3090 GAMING X TRIO 24G; GeForce RTX 3090 GAMING X TRIO 24G; V388-011R; 912-V388-011; G3090GXT24,2-way SLI Capable,350 W,3,,,
,https://pcpartpicker.com/product/hfjRsY/asus-dual-geforce-rtx-4070-super-12-gb-video-card-dual-rtx4070s-12g,2505 MHz,2,GeForce RTX 4070 SUPER,Black,2 Fans,1980 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,267 mm,Asus,12 GB,GDDR6X,dual-rtx4070s-12g; 90YV0K83-M0NA00; 90YV0K83-M0AA00,,220 W,3,,,
,https://pcpartpicker.com/product/kdVD4D/gigabyte-geforce-rtx-2080-ti-11-gb-aorus-xtreme-waterforce-video-card-gv-n208taorusx-w-11gc,1770 MHz,2,GeForce RTX 2080 Ti,Black / Silver,240 mm Radiator,1545 MHz,3,14140 MHz,2 x PCIe 8-pin,G-Sync,3,,PCIe x16,290 mm,Gigabyte,11 GB,GDDR6,GV-N208TAORUSX W-11GC,2-way SLI Capable,250 W,2,,,
,https://pcpartpicker.com/product/pZ6p99/gigabyte-aorus-xtreme-waterforce-geforce-rtx-4090-24-gb-video-card-gv-n4090aorusx-w-24gd,,2,GeForce RTX 4090,Black,360 mm Radiator,2235 MHz,,21000 MHz,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,238 mm,Gigabyte,24 GB,GDDR6X,GV-N4090AORUSX W-24GD,,450 W,2,,,
,https://pcpartpicker.com/product/LLP8TW/asus-dual-oc-geforce-rtx-4070-12-gb-video-card-dual-rtx4070-o12g-white,2550 MHz,2,GeForce RTX 4070,White,2 Fans,2520 MHz,,,1 x PCIe 8-pin,G-Sync,,,PCIe x16,267 mm,Asus,12 GB,GDDR6X,dual-rtx4070-o12g-white; 90YV0IZ4-M0NA00,,200 W,3,,,
,https://pcpartpicker.com/product/63wmP6/nvidia-founders-edition-geforce-rtx-4060-ti-8-gb-video-card-900-1g141-2560-000,2540 MHz,2,GeForce RTX 4060 Ti,Black / Silver,2 Fans,2310 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,244 mm,NVIDIA,8 GB,GDDR6,900-1G141-2560-000,,165 W,2,,,
,https://pcpartpicker.com/product/dy7scf/msi-ventus-2x-oc-geforce-rtx-4070-super-12-gb-video-card-rtx-4070-super-12g-ventus-2x-white-oc,2520 MHz,2,GeForce RTX 4070 SUPER,White,2 Fans,1980 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,242 mm,MSI,12 GB,GDDR6X,RTX 4070 SUPER 12G VENTUS 2X WHITE OC; GeForce RTX 4070 SUPER 12G VENTUS 2X WHITE OC; 912-V513-659; V513-642R,,220 W,2,,,
,https://pcpartpicker.com/product/F3fnTW/sapphire-nitro-radeon-rx-7900-xtx-24-gb-video-card-11322-01-20g,2680 MHz,3,Radeon RX 7900 XTX,Silver / Black,3 Fans,2300 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,320 mm,Sapphire,24 GB,GDDR6,11322-01-20G; 11322-01-40G,,420 W,4,,,
,https://pcpartpicker.com/product/Hg92FT/xfx-radeon-rx-6800-16-gb-speedster-swft-319-video-card-rx-68xlaqfd9,2105 MHz,2,Radeon RX 6800,Black,3 Fans,1700 MHz,,16000 MHz,2 x PCIe 8-pin,FreeSync,,,PCIe x16,340 mm,XFX,16 GB,GDDR6,RX-68XLAQFD9,,250 W,3,,,
,https://pcpartpicker.com/product/sqyH99/gigabyte-gaming-oc-radeon-rx-7600-xt-16-gb-video-card-gv-r76xtgaming-oc-16gd,2810 MHz,2,Radeon RX 7600 XT,Black / Gray,3 Fans,1720 MHz,,18000 MHz,2 x PCIe 8-pin,FreeSync,,,PCIe x16,281 mm,Gigabyte,16 GB,GDDR6,GV-R76XTGAMING OC-16GD,,190 W,3,,,
,https://pcpartpicker.com/product/YNVBD3/msi-geforce-gtx-1080-ti-11gb-gaming-x-video-card-geforce-gtx-1080-ti-gaming-x-11g,1683 MHz,2,GeForce GTX 1080 Ti,Black / Red,2 Fans,1569 MHz,2,11124 MHz,2 x PCIe 8-pin,G-Sync,2,,PCIe x16,290 mm,MSI,11 GB,GDDR5X,GeForce GTX 1080 Ti GAMING X 11G; GTX 1080 TI GAMING X; GTX 1080 TI GAMING X 11G,2-way SLI Capable,250 W,3,,,
,https://pcpartpicker.com/product/VTFmP6/gigabyte-gaming-oc-radeon-rx-7700-xt-12-gb-video-card-gv-r77xtgaming-oc-12gd,2599 MHz,2,Radeon RX 7700 XT,Black,3 Fans,1700 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,302 mm,Gigabyte,12 GB,GDDR6,GV-R77XTGAMING OC-12GD,,245 W,3,,,
,https://pcpartpicker.com/product/r7WmP6/msi-gaming-trio-oc-geforce-rtx-5090-32-gb-video-card-geforce-rtx-5090-32g-gaming-trio-oc,,2,GeForce RTX 5090,Black / Silver,3 Fans,2010 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,359 mm,MSI,32 GB,GDDR7,GeForce RTX 5090 32G GAMING TRIO OC; G5090-32GTC; RTX 5090 32G GAMING TRIO OC; 912-V530-014; V530-014R,,575 W,4,,,
,https://pcpartpicker.com/product/87WmP6/nvidia-founders-edition-geforce-rtx-5080-16-gb-video-card-900-1g144-2545-000,2620 MHz,2,GeForce RTX 5080,Black / Gray,2 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,304 mm,NVIDIA,16 GB,GDDR7,900-1G144-2545-000,,360 W,3,,,
,https://pcpartpicker.com/product/LLP8TW/asus-dual-oc-geforce-rtx-4070-12-gb-video-card-dual-rtx4070-o12g-white,2550 MHz,2,GeForce RTX 4070,White,2 Fans,2520 MHz,,,1 x PCIe 8-pin,G-Sync,,,PCIe x16,267 mm,Asus,12 GB,GDDR6X,dual-rtx4070-o12g-white; 90YV0IZ4-M0NA00,,200 W,3,,,
,https://pcpartpicker.com/product/wNFmP6/asrock-steel-legend-oc-radeon-rx-7600-xt-16-gb-video-card-rx7600xt-sl-16go,2810 MHz,2,Radeon RX 7600 XT,White / Silver,3 Fans,1720 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,304 mm,ASRock,16 GB,GDDR6,RX7600XT SL 16GO; 90-GA4ZZZ-00UANF,,190 W,3,,,
,https://pcpartpicker.com/product/rGPv6h/powercolor-hellhound-oc-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-16g-loc,3010 MHz,2,Radeon RX 9070 XT,Black,3 Fans,2400 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,327 mm,PowerColor,16 GB,GDDR6,RX9070XT 16G-L/OC,,304 W,3,,,
,https://pcpartpicker.com/product/Hc7scf/asus-dual-oc-geforce-rtx-4070-super-12-gb-video-card-dual-rtx4070s-o12g,2550 MHz,2,GeForce RTX 4070 SUPER,Black,2 Fans,1980 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,267 mm,Asus,12 GB,GDDR6X,dual-rtx4070s-o12g; 90YV0K82-M0NA00; 90YV0K82-M0AA00,,220 W,3,,,
,https://pcpartpicker.com/product/rNjRsY/asus-tuf-gaming-oc-geforce-rtx-4080-super-16-gb-video-card-tuf-rtx4080s-o16g-gaming,2640 MHz,2,GeForce RTX 4080 SUPER,Black,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,348 mm,Asus,16 GB,GDDR6X,tuf-rtx4080s-o16g-gaming; 90YV0KA0-M0NA00; 90YV0KA0-M0AA00,,320 W,4,,,
,https://pcpartpicker.com/product/ybjv6h/asus-tuf-gaming-oc-geforce-rtx-5070-ti-16-gb-video-card-tuf-rtx5070ti-o16g-gaming,2610 MHz,2,GeForce RTX 5070 Ti,Black / Silver,3 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,329 mm,Asus,16 GB,GDDR7,tuf-rtx5070ti-o16g-gaming; 90YV0MD0-M0NA00; 90YV0MD0-M0AA00,,300 W,4,,,
,https://pcpartpicker.com/product/rGPv6h/powercolor-hellhound-oc-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-16g-loc,3010 MHz,2,Radeon RX 9070 XT,Black,3 Fans,2400 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,327 mm,PowerColor,16 GB,GDDR6,RX9070XT 16G-L/OC,,304 W,3,,,
,https://pcpartpicker.com/product/8nhKHx/evga-geforce-rtx-2070-8gb-xc-gaming-video-card-08g-p4-2172-kr,1710 MHz,2,GeForce RTX 2070,Clear / Black,2 Fans,1410 MHz,3,14000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,1,,PCIe x16,269 mm,EVGA,8 GB,GDDR6,08G-P4-2172-KR,,185 W,2,,,
,https://pcpartpicker.com/product/X7CZxr/asus-dual-oc-geforce-rtx-4060-8-gb-video-card-dual-rtx4060-o8g,2535 MHz,2,GeForce RTX 4060,Black,2 Fans,1830 MHz,,,1 x PCIe 8-pin,G-Sync,,,PCIe x16,227 mm,Asus,8 GB,GDDR6,DUAL-RTX4060-O8G; 90YV0JC0-M0NA00,,115 W,3,,,
,https://pcpartpicker.com/product/Tfrp99/sapphire-pure-frostpunk-2-edition-radeon-rx-7700-xt-12-gb-video-card-11335-08-50g,2584 MHz,2,Radeon RX 7700 XT,White,3 Fans,1700 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,320 mm,Sapphire,12 GB,GDDR6,11335-08-50G,,240 W,3,,,
,https://pcpartpicker.com/product/GYfxFT/xfx-speedster-qick-319-core-radeon-rx-7800-xt-16-gb-video-card-rx-78tqickf9,2430 MHz,2,Radeon RX 7800 XT,Black,3 Fans,1295 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,335 mm,XFX,16 GB,GDDR6,RX-78TQICKF9,,263 W,3,,,
,https://pcpartpicker.com/product/7bL7YJ/gigabyte-geforce-gtx-1060-3gb-windforce-oc-video-card-gv-n1060wf2oc-3gd,1797 MHz,2,GeForce GTX 1060 3GB,Black / Orange,2 Fans,1556 MHz,1,8008 MHz,1 x PCIe 6-pin,G-Sync,1,,PCIe x16,223 mm,Gigabyte,3 GB,GDDR5,GV-N1060WF2OC-3GD,,120 W,2,,,
,https://pcpartpicker.com/product/gc9KHx/sapphire-video-card-1003523l,,2,Radeon HD 7950,Black / Silver,2 Fans,850 MHz,1,5000 MHz,2 x PCIe 6-pin,None,1,,PCIe x16,270 mm,Sapphire,3 GB,GDDR5,100352-3L,4-way CrossFire Capable; 3-way CrossFire Capable; 2-way CrossFire Capable,200 W,2,,,
,https://pcpartpicker.com/product/x8hFf7/msi-ventus-3x-8gd6x-oc-geforce-rtx-3060-ti-8-gb-video-card-rtx-3060-ti-ventus-3x-8gd6x-oc,1695 MHz,2,GeForce RTX 3060 Ti,Black,3 Fans,1410 MHz,,19000 MHz,2 x PCIe 8-pin,G-Sync,,,PCIe x16,305 mm,MSI,8 GB,GDDR6X,RTX 3060 Ti VENTUS 3X 8GD6X OC; GeForce RTX 3060 Ti VENTUS 3X 8GD6X OC; V505-085R,,225 W,3,,,
,https://pcpartpicker.com/product/QygZxr/xfx-rx-97tmaqkb9-radeon-rx-9070-xt-16-gb-video-card-rx-97tmaqkb9,3100 MHz,3,Radeon RX 9070 XT,Black,3 Fans,1870 MHz,,20000 MHz,2 x PCIe 8-pin,FreeSync,,,PCIe x16,350 mm,XFX,16 GB,GDDR6,RX-97TMAQKB9,,304 W,4,,,
,https://pcpartpicker.com/product/8d4Ycf/gigabyte-windforce-oc-geforce-rtx-3060-12gb-12-gb-video-card-gv-n3060wf2oc-12gd,1792 MHz,2,GeForce RTX 3060 12GB,Black,2 Fans,1320 MHz,,15000 MHz,1 x PCIe 8-pin,G-Sync,,,PCIe x16,198 mm,Gigabyte,12 GB,GDDR6,GV-N3060WF2OC-12GD; GV-N3060WF2OC-12GD 2.0,,170 W,2,,,
,https://pcpartpicker.com/product/87F48d/asus-geforce-rtx-2070-8gb-video-card-rog-strix-rtx2070-o8g-gaming,1845 MHz,2,GeForce RTX 2070,Black,3 Fans,1410 MHz,2,14000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,2,,PCIe x16,305 mm,Asus,8 GB,GDDR6,ROG-STRIX-RTX2070-O8G-GAMING; 90YV0C90-M0NA00,,185 W,3,,,
,https://pcpartpicker.com/product/9ZZXsY/msi-ventus-3x-oc-geforce-rtx-4070-12-gb-video-card-rtx-4070-ventus-3x-12g-oc,,2,GeForce RTX 4070,Silver / Black,3 Fans,1920 MHz,,2520 MHz,1 x PCIe 8-pin,G-Sync,,,PCIe x16,308 mm,MSI,12 GB,GDDR6X,RTX 4070 VENTUS 3X 12G OC; GeForce RTX 4070 VENTUS 3X 12G OC; V513-057R,,200 W,2,,,
,https://pcpartpicker.com/product/NDvdnQ/xfx-radeon-rx-6650-xt-8-gb-speedster-swft-210-core-video-card-rx-665x8dfdy,2635 MHz,2,Radeon RX 6650 XT,Black / Silver,2 Fans,2055 MHz,,,1 x PCIe 8-pin,FreeSync,,,PCIe x16,241 mm,XFX,8 GB,GDDR6,RX-665X8DFDY,,180 W,2,,,
,https://pcpartpicker.com/product/ztbRsY/pny-xlr8-gaming-verto-epic-x-rgb-oc-geforce-rtx-4070-ti-super-16-gb-video-card-vcg4070ts16tfxxpb1-o,2655 MHz,3,GeForce RTX 4070 Ti SUPER,Black,3 Fans,2340 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,333 mm,PNY,16 GB,GDDR6X,VCG4070TS16TFXXPB1-O,,285 W,4,,,
,https://pcpartpicker.com/product/khyxFT/evga-video-card-06gp44995kr,1190 MHz,2,GeForce GTX 980 Ti,Black / Silver,2 Fans,1102 MHz,3,7010 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,1,,PCIe x16,267 mm,EVGA,6 GB,GDDR5,06G-P4-4995-KR,4-way SLI Capable; 3-way SLI Capable; 2-way SLI Capable,250 W,2,,,
,https://pcpartpicker.com/product/GYfxFT/xfx-speedster-qick-319-core-radeon-rx-7800-xt-16-gb-video-card-rx-78tqickf9,2430 MHz,2,Radeon RX 7800 XT,Black,3 Fans,1295 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,335 mm,XFX,16 GB,GDDR6,RX-78TQICKF9,,263 W,3,,,
,https://pcpartpicker.com/product/qtbRsY/asus-dual-evo-oc-geforce-rtx-4070-super-12-gb-video-card-dual-rtx4070s-o12g-evo,2550 MHz,2,GeForce RTX 4070 SUPER,Black,2 Fans,1980 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,227 mm,Asus,12 GB,GDDR6X,dual-rtx4070s-o12g-evo; 90YV0KC0-M0NA00; 90YV0KC0-M0AA00,,220 W,3,,,
,https://pcpartpicker.com/product/bKzXsY/zotac-gaming-amp-geforce-rtx-4080-super-16-gb-video-card-zt-d40820f-10p,2610 MHz,2,GeForce RTX 4080 SUPER,Black,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,308 mm,Zotac,16 GB,GDDR6X,ZT-D40820F-10P,,320 W,3,,,
,https://pcpartpicker.com/product/QRwypg/msi-radeon-rx-6600-xt-8-gb-mech-2x-oc-video-card-rx6600xt-mech2x-8goc,2602 MHz,2,Radeon RX 6600 XT,Black / Silver,2 Fans,1968 MHz,3,16000 MHz,1 x PCIe 8-pin,FreeSync,1,,PCIe x16,235 mm,MSI,8 GB,GDDR6,RX6600XT MECH2X 8GOC; Radeon RX 6600 XT MECH 2X 8G OC; V502-004R,,160 W,3,,,
,https://pcpartpicker.com/product/s9qPxr/gigabyte-aero-oc-geforce-rtx-4070-ti-12-gb-video-card-gv-n407taero-oc-12gd,2640 MHz,2,GeForce RTX 4070 Ti,White / Silver,3 Fans,2310 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,336 mm,Gigabyte,12 GB,GDDR6X,GV-N407TAERO OC-12GD,,285 W,3,,,
,https://pcpartpicker.com/product/RRfnTW/sapphire-pulse-radeon-rx-7900-xtx-24-gb-video-card-11322-02-20g,2525 MHz,2,Radeon RX 7900 XTX,Black / Red,3 Fans,2300 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,313 mm,Sapphire,24 GB,GDDR6,11322-02-20G,,370 W,3,,,
,https://pcpartpicker.com/product/qnGhP6/pny-verto-geforce-rtx-4060-8-gb-video-card-vcg40608dfxpb1,2460 MHz,2,GeForce RTX 4060,Black,2 Fans,1830 MHz,,,1 x PCIe 8-pin,G-Sync,,,PCIe x16,210 mm,PNY,8 GB,GDDR6,VCG40608DFXPB1,,115 W,2,,,
,https://pcpartpicker.com/product/mHpQzy/gigabyte-gaming-oc-radeon-rx-7800-xt-16-gb-video-card-gv-r78xtgaming-oc-16gd,2565 MHz,2,Radeon RX 7800 XT,Black,3 Fans,1295 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,302 mm,Gigabyte,16 GB,GDDR6,GV-R78XTGAMING OC-16GD,,263 W,3,,,
,https://pcpartpicker.com/product/ZQPv6h/sapphire-nitro-radeon-rx-9070-xt-16-gb-video-card-11348-01-20g,3060 MHz,3,Radeon RX 9070 XT,Black,3 Fans,2520 MHz,,,1 x PCIe 16-pin 12VHPWR,FreeSync,2,,PCIe x16,331 mm,Sapphire,16 GB,GDDR6,11348-01-20G,,330 W,4,,,
,https://pcpartpicker.com/product/bfV2FT/asrock-steel-legend-oc-radeon-rx-7800-xt-16-gb-video-card-rx7800xt-sl-16go,2520 MHz,2,Radeon RX 7800 XT,White,3 Fans,1295 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,304 mm,ASRock,16 GB,GDDR6,RX7800XT SL 16GO; 90-GA4RZZ-00UANF,,263 W,3,,,
,https://pcpartpicker.com/product/mHpQzy/gigabyte-gaming-oc-radeon-rx-7800-xt-16-gb-video-card-gv-r78xtgaming-oc-16gd,2565 MHz,2,Radeon RX 7800 XT,Black,3 Fans,1295 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,302 mm,Gigabyte,16 GB,GDDR6,GV-R78XTGAMING OC-16GD,,263 W,3,,,
,https://pcpartpicker.com/product/Bvjv6h/sapphire-pulse-radeon-rx-9070-xt-16-gb-video-card-11348-03-20g,2970 MHz,3,Radeon RX 9070 XT,Black,3 Fans,2400 MHz,,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11348-03-20G,,304 W,3,,,
,https://pcpartpicker.com/product/R7CZxr/galax-1-click-oc-2x-geforce-rtx-4060-8-gb-video-card-46nsl8md8loc,2490 MHz,2,GeForce RTX 4060,Black,2 Fans,1830 MHz,,,1 x PCIe 8-pin,G-Sync,,,PCIe x16,237 mm,GALAX,8 GB,GDDR6,46NSL8MD8LOC,,115 W,2,,,
,https://pcpartpicker.com/product/9kwmP6/galax-ex-1-click-oc-geforce-rtx-4060-8-gb-video-card-46nsl8md8mex,2580 MHz,2,GeForce RTX 4060,Black,2 Fans,1830 MHz,,,1 x PCIe 8-pin,G-Sync,,,PCIe x16,251 mm,GALAX,8 GB,GDDR6,46NSL8MD8MEX,,115 W,2,,,
,https://pcpartpicker.com/product/rNjRsY/asus-tuf-gaming-oc-geforce-rtx-4080-super-16-gb-video-card-tuf-rtx4080s-o16g-gaming,2640 MHz,2,GeForce RTX 4080 SUPER,Black,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,348 mm,Asus,16 GB,GDDR6X,tuf-rtx4080s-o16g-gaming; 90YV0KA0-M0NA00; 90YV0KA0-M0AA00,,320 W,4,,,
,https://pcpartpicker.com/product/NrXV3C/zotac-gaming-trinity-oc-geforce-rtx-4070-ti-super-16-gb-video-card-zt-d40730q-10p,2625 MHz,2,GeForce RTX 4070 Ti SUPER,White,3 Fans,2340 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,307 mm,Zotac,16 GB,GDDR6X,ZT-D40730Q-10P,,285 W,3,,,
,https://pcpartpicker.com/product/g9pQzy/asus-dual-evo-geforce-rtx-4070-super-12-gb-video-card-dual-rtx4070s-12g-evo,2505 MHz,2,GeForce RTX 4070 SUPER,Black,2 Fans,1980 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,227 mm,Asus,12 GB,GDDR6X,dual-rtx4070s-12g-evo; 90YV0KC1-M0NA00,,220 W,3,,,
,https://pcpartpicker.com/product/KvcgXL/gigabyte-windforce-oc-geforce-rtx-4070-ti-super-16-gb-video-card-gv-n407tswf3oc-16gd,2625 MHz,2,GeForce RTX 4070 Ti SUPER,Black,3 Fans,2340 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,261 mm,Gigabyte,16 GB,GDDR6X,GV-N407TSWF3OC-16GD,,285 W,3,,,
,https://pcpartpicker.com/product/BtkH99/powercolor-hellhound-oc-radeon-rx-7800-xt-16-gb-video-card-rx-7800-xt-16g-loc,2520 MHz,2,Radeon RX 7800 XT,Black,3 Fans,1295 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,322 mm,PowerColor,16 GB,GDDR6,RX 7800 XT 16G-L/OC; RX7800XT 16GB-L/OC,,263 W,3,,,
,https://pcpartpicker.com/product/bbDQzy/asus-proart-oc-geforce-rtx-4080-super-16-gb-video-card-proart-rtx4080s-o16g,2640 MHz,2,GeForce RTX 4080 SUPER,Black / Gold,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,300 mm,Asus,16 GB,GDDR6X,proart-rtx4080s-o16g; 90YV0K90-M0NA00; 90YV0K90-M0AA00,,320 W,3,,,
,https://pcpartpicker.com/product/pD8bt6/msi-geforce-rtx-3060-ventus-2x-12g-geforce-rtx-3060-12gb-12-gb-video-card-rtx3060ventus2x12goc,1777 MHz,2,GeForce RTX 3060 12GB,Black,2 Fans,1320 MHz,3,15000 MHz,1 x PCIe 8-pin,G-Sync,1,,PCIe x16,235 mm,MSI,12 GB,GDDR6,RTX3060Ventus2X12GOC; GeForce RTX 3060 VENTUS 2X 12G OC; V397-022R; 912-V397-039,,170 W,2,,,
,https://pcpartpicker.com/product/jMnXsY/sparkle-titan-oc-arc-b580-12-gb-video-card-sb580t-12goc,2740 MHz,2,Arc B580,Blue / White,3 Fans,2670 MHz,,,1 x PCIe 8-pin,None,,,PCIe x16,317 mm,Sparkle,12 GB,GDDR6,SB580T-12GOC; 1A1-S00421500G,,200 W,3,,,
,https://pcpartpicker.com/product/BpK2FT/asus-geforce-gtx-1660-super-6-gb-tuf-gaming-x3-oc-video-card-tuf3-gtx1660s-o6g-gaming,,2,GeForce GTX 1660 SUPER,Black,3 Fans,1530 MHz,1,14000 MHz,1 x PCIe 8-pin,G-Sync,1,,PCIe x16,264 mm,Asus,6 GB,GDDR6,TUF3-GTX1660S-O6G-GAMING; 90YV0DS0-M0NA00,,125 W,3,,,
,https://pcpartpicker.com/product/xYTFf7/msi-ventus-3x-oc-geforce-rtx-5080-16-gb-video-card-geforce-rtx-5080-16g-ventus-3x-oc,2655 MHz,2,GeForce RTX 5080,Silver / Black,3 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,303 mm,MSI,16 GB,GDDR7,GeForce RTX 5080 16G VENTUS 3X OC; G5080-16V3C; 912-V531-264; RTX 5080 16G VENTUS 3X OC; V531-095R,,360 W,3,,,
,https://pcpartpicker.com/product/TgkWGX/gigabyte-gaming-oc-geforce-rtx-4090-24-gb-video-card-gv-n4090gaming-oc-24gd,,2,GeForce RTX 4090,Black,3 Fans,2235 MHz,,21000 MHz,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,340 mm,Gigabyte,24 GB,GDDR6X,GV-N4090GAMING OC-24GD,,450 W,4,,,
,https://pcpartpicker.com/product/bbDQzy/asus-proart-oc-geforce-rtx-4080-super-16-gb-video-card-proart-rtx4080s-o16g,2640 MHz,2,GeForce RTX 4080 SUPER,Black / Gold,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,300 mm,Asus,16 GB,GDDR6X,proart-rtx4080s-o16g; 90YV0K90-M0NA00; 90YV0K90-M0AA00,,320 W,3,,,
,https://pcpartpicker.com/product/H97CmG/msi-geforce-gtx-1050-ti-4-gb-gaming-x-4g-video-card-gtx-1050-ti-gaming-x-4g,1493 MHz,2,GeForce GTX 1050 Ti,Black / Red,2 Fans,1290 MHz,1,7108 MHz,1 x PCIe 6-pin,G-Sync,1,,PCIe x16,229 mm,MSI,4 GB,GDDR5,GTX 1050 Ti GAMING X 4G; GTX 1050 TI GAMING X; GEFORCE GTX 1050 TI GAMING X 4G; V335-001R,,75 W,2,,,
,https://pcpartpicker.com/product/hfjRsY/asus-dual-geforce-rtx-4070-super-12-gb-video-card-dual-rtx4070s-12g,2505 MHz,2,GeForce RTX 4070 SUPER,Black,2 Fans,1980 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,267 mm,Asus,12 GB,GDDR6X,dual-rtx4070s-12g; 90YV0K83-M0NA00; 90YV0K83-M0AA00,,220 W,3,,,
,https://pcpartpicker.com/product/y6dG3C/msi-ventus-2x-oc-geforce-rtx-4070-super-12-gb-video-card-rtx-4070-super-12g-ventus-2x-oc,2520 MHz,2,GeForce RTX 4070 SUPER,Black,2 Fans,1980 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,242 mm,MSI,12 GB,GDDR6X,RTX 4070 SUPER 12G VENTUS 2X OC; GeForce RTX 4070 SUPER 12G VENTUS 2X OC; V513-641R; 912-V513-658,,220 W,2,,,
,https://pcpartpicker.com/product/Y39wrH/zotac-gaming-twin-edge-oc-geforce-rtx-4070-super-12-gb-video-card-zt-d40720h-10m,2490 MHz,2,GeForce RTX 4070 SUPER,Black,2 Fans,1980 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,234 mm,Zotac,12 GB,GDDR6X,ZT-D40720H-10M,,220 W,2,,,
