component_type,component_name,component_link,CAS_Latency,Color,ECC_Registered,First_Word_Latency,Form_Factor,Heat_Spreader,Inferred_,Manufacturer,Modules,Part_#_#,Price_GB,Speed,Timing,Voltage
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/kTJp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36,36,Black,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2E6000C36,$2.87 ,DDR5-6000,36-44-44-96,1.4 V
,G.Skill Trident Z5 Neo RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/hRQcCJ/gskill-trident-z5-neo-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5nr,30,Black / Silver,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-6000J3040G32GX2-TZ5NR,$3.13 ,DDR5-6000,30-40-40-96,1.4 V
,G.Skill Trident Z5 Neo 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/Xg2WGX/gskill-trident-z5-neo-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5n,30,Black / Silver,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-6000J3040G32GX2-TZ5N,$3.05 ,DDR5-6000,30-40-40-96,1.4 V
,Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/27TzK8/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3200-memory-cmw32gx4m2e3200c16,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 16GB,CMW32GX4M2E3200C16,$2.63 ,DDR4-3200,16-20-20-38,1.35 V
,G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3600 CL16,https://pcpartpicker.com/product/gJM323/gskill-memory-f43600c16d16gvk,16,Black,Non-ECC / Unbuffered,8.889 ns,288-pin DIMM (DDR4),Yes,,G.Skill,2 x 8GB,F4-3600C16D-16GVK,$15.28 ,DDR4-3600,,1.35 V
,Crucial Ballistix Sport LT 32 GB (4 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/WvXnTW/crucial-ballistix-sport-lt-32-gb-4-x-8-gb-ddr4-3200-memory-bls4k8g4d32aesek,16,Red / Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Crucial,4 x 8GB,BLS4K8G4D32AESEK,,DDR4-3200,,1.35 V
,Patriot Viper Steel 32 GB (2 x 16 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/v3FKHx/patriot-viper-steel-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-pvs432g320c6k,16,Silver / Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Patriot,2 x 16GB,PVS432G320C6K,$1.56 ,DDR4-3200,16-18-18-36,1.35 V
,TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/2JLFf7/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff3d532g6000hc30dc01,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 16GB,FF3D532G6000HC30DC01,$3.19 ,DDR5-6000,30-36-36-76,1.35 V
,G.Skill Ripjaws M5 RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/WtzXsY/gskill-ripjaws-m5-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3040f16gx2-rm5rk,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3040F16GX2-RM5RK,$3.59 ,DDR5-6000,30-40-40-96,1.35 V
,Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/Yg3mP6/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3600-memory-cmk32gx4m2d3600c18,18,Black / Yellow,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 16GB,CMK32GX4M2D3600C18,$2.16 ,DDR4-3600,18-22-22-42,1.35 V
,ADATA XPG LANCER RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/NhBzK8/adata-xpg-lancer-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ax5u6000c3016g-dclarwh,30,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,ADATA,2 x 16GB,AX5U6000C3016G-DCLARWH,,DDR5-6000,,1.35 V
,Patriot Viper Steel 16 GB (2 x 8 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/kQNgXL/patriot-viper-steel-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-pvs416g360c8k,18,Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Patriot,2 x 8GB,PVS416G360C8K,$2.12 ,DDR4-3600,18-22-22-42,1.35 V
,Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18,18,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 16GB,CMW32GX4M2Z3600C18,$2.72 ,DDR4-3600,18-22-22-42,1.35 V
,ADATA XPG Lancer Blade 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/Gk88TW/adata-xpg-lancer-blade-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ax5u6000c3016g-dtlabbk,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,ADATA,2 x 16GB,AX5U6000C3016G-DTLABBK,$3.44 ,DDR5-6000,,1.35 V
,Corsair Vengeance RGB 64 GB (2 x 32 GB) DDR5-6400 CL32,https://pcpartpicker.com/product/Pt88TW/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-cmh64gx5m2b6400c32,32,Black / Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 32GB,CMH64GX5M2B6400C32,$3.91 ,DDR5-6400,32-40-40-84,1.4 V
,TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/z3VD4D/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3200-memory-tlzgd416g3200hc16cdc01,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TLZGD416G3200HC16CDC01,$1.69 ,DDR4-3200,16-18-18-38,1.35 V
,G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/ybrcCJ/gskill-tridentz-rgb-16gb-2-x-8gb-ddr4-3200-memory-f4-3200c16d-16gtzr,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,G.Skill,2 x 8GB,F4-3200C16D-16GTZR,$2.81 ,DDR4-3200,16-18-18-38,1.35 V
,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-5600 CL40,https://pcpartpicker.com/product/wzCZxr/corsair-vengeance-32-gb-2-x-16-gb-ddr5-5600-cl40-memory-cmk32gx5m2b5600z40,40,Black / Gray,Non-ECC / Unbuffered,14.286 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMK32GX5M2B5600Z40,$3.25 ,DDR5-5600,40-40-40-77,1.25 V
,TEAMGROUP T-Force Vulcan 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/HNZXsY/teamgroup-t-force-vulcan-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-flbd532g6000hc30dc01,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 16GB,FLBD532G6000HC30DC01,$3.03 ,DDR5-6000,30-36-36-76,1.35 V
,G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/CXKKHx/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5nr,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),No,,G.Skill,2 x 16GB,F5-6000J3038F16GX2-TZ5NR,$3.53 ,DDR5-6000,30-38-38-96,1.35 V
,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/QzP8TW/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ctcwd532g6000hc30dc01,30,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 16GB,CTCWD532G6000HC30DC01,$2.97 ,DDR5-6000,30-36-36-76,1.35 V
,G.Skill Ripjaws V 16 GB (1 x 16 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/VcTrxr/gskill-memory-f43200c16s16gvk,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,G.Skill,1 x 16GB,F4-3200C16S-16GVK,$1.87 ,DDR4-3200,,1.35 V
,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-2666 CL16,https://pcpartpicker.com/product/J27CmG/corsair-memory-cmk16gx4m2a2666c16,16,Black / Yellow,Non-ECC / Unbuffered,12.003 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 8GB,CMK16GX4M2A2666C16,$2.37 ,DDR4-2666,16-18-18-35,1.2 V
,Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18,18,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 16GB,CMW32GX4M2Z3600C18,$2.72 ,DDR4-3600,18-22-22-42,1.35 V
,Patriot Viper 4 Blackout 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/xK3mP6/patriot-viper-4-blackout-16-gb-2-x-8-gb-ddr4-3200-memory-pvb416g320c6k,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Patriot,2 x 8GB,PVB416G320C6K,,DDR4-3200,16-18-18-36,1.35 V
,Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18,18,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 16GB,CMW32GX4M2Z3600C18,$2.72 ,DDR4-3600,18-22-22-42,1.35 V
,Kingston HyperX Fury RGB 32 GB (2 x 16 GB) DDR4-2666 CL16,https://pcpartpicker.com/product/D4drxr/kingston-hyperx-fury-rgb-32-gb-2-x-16-gb-ddr4-2666-memory-hx426c16fb3ak232,16,Black,Non-ECC / Unbuffered,12.003 ns,288-pin DIMM (DDR4),Yes,,Kingston,2 x 16GB,HX426C16FB3AK2/32,,DDR4-2666,,1.2 V
,G.Skill Trident Z5 RGB 32 GB (2 x 16 GB) DDR5-6400 CL32,https://pcpartpicker.com/product/RXGbt6/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-f5-6400j3239g16gx2-tz5rk,32,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6400J3239G16GX2-TZ5RK,$3.59 ,DDR5-6400,32-39-39-102,1.4 V
,Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18,18,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 16GB,CMW32GX4M2Z3600C18,$2.72 ,DDR4-3600,18-22-22-42,1.35 V
,G.Skill Trident Z5 RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/mhJgXL/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-tz5rk,36,Black,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3636F16GX2-TZ5RK,$2.81 ,DDR5-6000,36-36-36-96,1.35 V
,Kingston FURY Beast 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/6YfnTW/kingston-fury-beast-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-kf432c16bbk216,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Kingston,2 x 8GB,KF432C16BBK216,$2.99 ,DDR4-3200,,1.35 V
,G.Skill Ripjaws S5 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/x4VmP6/gskill-ripjaws-s5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3040f16gx2-rs5k,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3040F16GX2-RS5K,$3.28 ,DDR5-6000,30-40-40-96,1.35 V
,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/LBstt6/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-fx5,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3038F16GX2-FX5,$3.13 ,DDR5-6000,30-38-38-96,1.35 V
,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/LBstt6/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-fx5,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3038F16GX2-FX5,$3.13 ,DDR5-6000,30-38-38-96,1.35 V
,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-7200 CL34,https://pcpartpicker.com/product/gXRwrH/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-ctced532g7200hc34adc01,34,Black,Non-ECC / Unbuffered,9.444 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 16GB,CTCED532G7200HC34ADC01,$3.41 ,DDR5-7200,34-42-42-84,1.4 V
,Patriot Viper Venom RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/kxzhP6/patriot-viper-venom-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-pvvr532g600c36k,36,Black / White,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,Patriot,2 x 16GB,PVVR532G600C36K,$2.50 ,DDR5-6000,36-36-36-76,1.35 V
,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/JkfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000c30,30,Black / Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMK32GX5M2B6000C30,$3.91 ,DDR5-6000,30-36-36-76,1.4 V
,Corsair Vengeance RGB 64 GB (2 x 32 GB) DDR5-6000 CL40,https://pcpartpicker.com/product/NJstt6/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6000-cl40-memory-cmh64gx5m2b6000z40,40,Black,Non-ECC / Unbuffered,13.333 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 32GB,CMH64GX5M2B6000Z40,$2.66 ,DDR5-6000,40-40-40-77,1.35 V
,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/JkfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000c30,30,Black / Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMK32GX5M2B6000C30,$3.91 ,DDR5-6000,30-36-36-76,1.4 V
,G.Skill Trident Z5 RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/3c4Zxr/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5rw,30,White / Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-6000J3040G32GX2-TZ5RW,$3.28 ,DDR5-6000,30-40-40-96,1.4 V
,Kingston FURY Beast 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/q7LdnQ/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbek2-32,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Kingston,2 x 16GB,KF560C30BBEK2-32,$3.44 ,DDR5-6000,,1.4 V
,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/LBstt6/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-fx5,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3038F16GX2-FX5,$3.13 ,DDR5-6000,30-38-38-96,1.35 V
,G.Skill Flare X5 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/6QcgXL/gskill-flare-x5-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-fx5,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-6000J3040G32GX2-FX5,$2.81 ,DDR5-6000,30-40-40-96,1.4 V
,G.Skill Flare X5 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/6QcgXL/gskill-flare-x5-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-fx5,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-6000J3040G32GX2-FX5,$2.81 ,DDR5-6000,30-40-40-96,1.4 V
,TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/33pzK8/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-tlzrd416g3600hc18jdc01,18,Red,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TLZRD416G3600HC18JDC01,$1.87 ,DDR4-3600,18-22-22-42,1.35 V
,Corsair Dominator Titanium 48 GB (2 x 24 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/FcyH99/corsair-dominator-titanium-48-gb-2-x-24-gb-ddr5-6000-cl30-memory-cmp48gx5m2b6000c30,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 24GB,CMP48GX5M2B6000C30,$4.73 ,DDR5-6000,30-36-36-76,1.4 V
,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/JkfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000c30,30,Black / Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMK32GX5M2B6000C30,$3.91 ,DDR5-6000,30-36-36-76,1.4 V
,TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/WFVmP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff4d532g6000hc30dc01,30,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 16GB,FF4D532G6000HC30DC01,$3.19 ,DDR5-6000,30-36-36-76,1.35 V
,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/LBstt6/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-fx5,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3038F16GX2-FX5,$3.13 ,DDR5-6000,30-38-38-96,1.35 V
,G.Skill Trident Z5 RGB 96 GB (2 x 48 GB) DDR5-6800 CL34,https://pcpartpicker.com/product/xb26Mp/gskill-trident-z5-rgb-96-gb-2-x-48-gb-ddr5-6800-cl34-memory-f5-6800j3446f48gx2-tz5rk,34,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 48GB,F5-6800J3446F48GX2-TZ5RK,$3.28 ,DDR5-6800,34-46-46-108,1.35 V
,G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/CXKKHx/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5nr,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),No,,G.Skill,2 x 16GB,F5-6000J3038F16GX2-TZ5NR,$3.53 ,DDR5-6000,30-38-38-96,1.35 V
