"component_type","component_name","component_link","Inferred_","Manufacturer","Maximum_Supported_Memory","Mode","Model","Part_#_#","Version"
,Microsoft Windows 11 Home OEM - DVD 64-bit,https://pcpartpicker.com/product/dKkWGX/microsoft-windows-11-home-oem-dvd-64-bit-kw9-00633,,Microsoft,128 GB,64-bit,Microsoft Windows 11 Home 64-bit - OEM (DVD),KW9-00633; KW9-00632,Windows 11 Home
,Microsoft Windows 10 Pro OEM - DVD 64-bit,https://pcpartpicker.com/product/MfH48d/microsoft-windows-10-pro-oem-dvd-64-bit-fqc-08930,,Microsoft,2048 GB,64-bit,Microsoft Windows 10 Pro OEM (DVD),FQC-08930,Windows 10 Pro
,Microsoft Windows 11 Home OEM - DVD 64-bit,https://pcpartpicker.com/product/dKkWGX/microsoft-windows-11-home-oem-dvd-64-bit-kw9-00633,,Microsoft,128 GB,64-bit,Microsoft Windows 11 Home 64-bit - OEM (DVD),KW9-00633; KW9-00632,Windows 11 Home
,Microsoft Windows 10 Pro OEM - DVD 64-bit,https://pcpartpicker.com/product/MfH48d/microsoft-windows-10-pro-oem-dvd-64-bit-fqc-08930,,Microsoft,2048 GB,64-bit,Microsoft Windows 10 Pro OEM (DVD),FQC-08930,Windows 10 Pro
,Microsoft Windows 11 Home OEM - DVD 64-bit,https://pcpartpicker.com/product/dKkWGX/microsoft-windows-11-home-oem-dvd-64-bit-kw9-00633,,Microsoft,128 GB,64-bit,Microsoft Windows 11 Home 64-bit - OEM (DVD),KW9-00633; KW9-00632,Windows 11 Home
,Microsoft Windows 10 Pro Retail - USB 32/64-bit,https://pcpartpicker.com/product/M9GnTW/microsoft-windows-10-pro-retail-usb-3264-bit-hav-00059,,Microsoft,2048 GB,32/64-bit,Microsoft Windows 10 Pro (USB),HAV-00059,Windows 10 Pro
,Microsoft Windows 10 Pro Retail - USB 32/64-bit,https://pcpartpicker.com/product/M9GnTW/microsoft-windows-10-pro-retail-usb-3264-bit-hav-00059,,Microsoft,2048 GB,32/64-bit,Microsoft Windows 10 Pro (USB),HAV-00059,Windows 10 Pro
,Microsoft Windows 10 Pro Retail - USB 32/64-bit,https://pcpartpicker.com/product/M9GnTW/microsoft-windows-10-pro-retail-usb-3264-bit-hav-00059,,Microsoft,2048 GB,32/64-bit,Microsoft Windows 10 Pro (USB),HAV-00059,Windows 10 Pro
,Microsoft Windows 10 Pro Retail - USB 32/64-bit,https://pcpartpicker.com/product/BKKhP6/microsoft-windows-10-pro-retail-usb-3264-bit-fqc-08789,,Microsoft,2048 GB,32/64-bit,Microsoft Windows 10 Pro (USB),FQC-08789,Windows 10 Pro
,Microsoft Windows 10 Pro Retail - USB 32/64-bit,https://pcpartpicker.com/product/BKKhP6/microsoft-windows-10-pro-retail-usb-3264-bit-fqc-08789,,Microsoft,2048 GB,32/64-bit,Microsoft Windows 10 Pro (USB),FQC-08789,Windows 10 Pro
,Microsoft Windows 10 Pro Retail - USB 32/64-bit,https://pcpartpicker.com/product/M9GnTW/microsoft-windows-10-pro-retail-usb-3264-bit-hav-00059,,Microsoft,2048 GB,32/64-bit,Microsoft Windows 10 Pro (USB),HAV-00059,Windows 10 Pro
,Microsoft Windows 10 Home Retail - USB 32/64-bit,https://pcpartpicker.com/product/G9GnTW/microsoft-windows-10-home-retail-usb-3264-bit-haj-00052,,Microsoft,128 GB,32/64-bit,Microsoft Windows 10 Home (USB),HAJ-00052,Windows 10 Home
,Microsoft Windows 8.1 OEM 64-bit,https://pcpartpicker.com/product/TrTmP6/microsoft-os-wn700615,,Microsoft,128 GB,64-bit,,WN7-00615; WN7-00614,Windows 8.1
,Microsoft Windows 10 Home Retail - USB 32/64-bit,https://pcpartpicker.com/product/G9GnTW/microsoft-windows-10-home-retail-usb-3264-bit-haj-00052,,Microsoft,128 GB,32/64-bit,Microsoft Windows 10 Home (USB),HAJ-00052,Windows 10 Home
,Microsoft Windows 10 Home Retail - Download 32/64-bit,https://pcpartpicker.com/product/Mk648d/microsoft-windows-10-home-retail-download-3264-bit-kw9-00265,,Microsoft,128 GB,32/64-bit,Microsoft Windows 10 Home (Download),KW9-00265,Windows 10 Home
,Microsoft Windows 10 Pro Retail - USB 32/64-bit,https://pcpartpicker.com/product/DWbkcf/microsoft-windows-10-pro-retail-usb-3264-bit-fqc-08788,,Microsoft,2048 GB,32/64-bit,Microsoft Windows 10 Pro (USB),FQC-08788,Windows 10 Pro
