component_name,component_link,CAS_Latency,Color,First_Word_Latency,Form_Factor,Heat_Spreader,Manufacturer,Modules,Part__,Price_GB,Speed,Voltage,Speed_MHz,CL,tRCD,tRP,tRAS,ECC_Support,DDR_Type
G.Skill Ripjaws S5 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/x4VmP6/gskill-ripjaws-s5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3040f16gx2-rs5k,30,Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-6000J3040F16GX2-RS5K,3,DDR5-6000,1.35,5,30,40,40,96,TRUE,DDR5
Corsair Vengeance Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/kTJp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36,36,Black,12,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMH32GX5M2E6000C36,3,DDR5-6000,1.4,5,36,44,44,96,TRUE,DDR5
G.Skill Trident Z5 Neo 64 Gb (2 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/Xg2WGX/gskill-trident-z5-neo-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5n,30,Black / Silver,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 32GB,F5-6000J3040G32GX2-TZ5N,3,DDR5-6000,1.4,5,30,40,40,96,TRUE,DDR5
Corsair Vengeance Rgb Pro 32 Gb (2 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/27TzK8/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3200-memory-cmw32gx4m2e3200c16,16,Black,10,288-pin DIMM (DDR4),TRUE,Corsair,2 x 16GB,CMW32GX4M2E3200C16,3,DDR4-3200,1.35,4,16,20,20,38,TRUE,DDR4
G.Skill Ripjaws V 16 Gb (2 X 8 Gb) Ddr4-3600 Cl16,https://pcpartpicker.com/product/gJM323/gskill-memory-f43600c16d16gvk,16,Black,8.889,288-pin DIMM (DDR4),TRUE,G.Skill,2 x 8GB,F4-3600C16D-16GVK,3,DDR4-3600,1.35,4,,,,,TRUE,DDR4
Crucial Ballistix Sport Lt 32 Gb (4 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/WvXnTW/crucial-ballistix-sport-lt-32-gb-4-x-8-gb-ddr4-3200-memory-bls4k8g4d32aesek,16,Red / Black,10,288-pin DIMM (DDR4),TRUE,Crucial,4 x 8GB,BLS4K8G4D32AESEK,3,DDR4-3200,1.35,4,,,,,TRUE,DDR4
Patriot Viper Steel 32 Gb (2 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/v3FKHx/patriot-viper-steel-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-pvs432g320c6k,16,Silver / Black,10,288-pin DIMM (DDR4),TRUE,Patriot,2 x 16GB,PVS432G320C6K,3,DDR4-3200,1.35,4,16,18,18,36,TRUE,DDR4
Teamgroup T-Force Delta Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/2JLFf7/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff3d532g6000hc30dc01,30,Black,10,288-pin DIMM (DDR5),TRUE,Teamgroup,2 x 16GB,FF3D532G6000HC30DC01,3,DDR5-6000,1.35,5,30,36,36,76,TRUE,DDR5
G.Skill Ripjaws M5 Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/WtzXsY/gskill-ripjaws-m5-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3040f16gx2-rm5rk,30,Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-6000J3040F16GX2-RM5RK,3,DDR5-6000,1.35,5,30,40,40,96,TRUE,DDR5
Corsair Vengeance Lpx 32 Gb (2 X 16 Gb) Ddr4-3600 Cl18,https://pcpartpicker.com/product/Yg3mP6/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3600-memory-cmk32gx4m2d3600c18,18,Black / Yellow,10,288-pin DIMM (DDR4),TRUE,Corsair,2 x 16GB,CMK32GX4M2D3600C18,3,DDR4-3600,1.35,4,18,22,22,42,TRUE,DDR4
Adata Xpg Lancer Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/NhBzK8/adata-xpg-lancer-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ax5u6000c3016g-dclarwh,30,White,10,288-pin DIMM (DDR5),TRUE,Adata,2 x 16GB,AX5U6000C3016G-DCLARWH,3,DDR5-6000,1.35,5,,,,,TRUE,DDR5
Patriot Viper Steel 16 Gb (2 X 8 Gb) Ddr4-3600 Cl18,https://pcpartpicker.com/product/kQNgXL/patriot-viper-steel-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-pvs416g360c8k,18,Gray,10,288-pin DIMM (DDR4),TRUE,Patriot,2 x 8GB,PVS416G360C8K,3,DDR4-3600,1.35,4,18,22,22,42,TRUE,DDR4
Corsair Vengeance Rgb Pro 32 Gb (2 X 16 Gb) Ddr4-3600 Cl18,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18,18,Black,10,288-pin DIMM (DDR4),TRUE,Corsair,2 x 16GB,CMW32GX4M2Z3600C18,3,DDR4-3600,1.35,4,18,22,22,42,TRUE,DDR4
Adata Xpg Lancer Blade 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/Gk88TW/adata-xpg-lancer-blade-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ax5u6000c3016g-dtlabbk,30,Black,10,288-pin DIMM (DDR5),TRUE,Adata,2 x 16GB,AX5U6000C3016G-DTLABBK,3,DDR5-6000,1.35,5,,,,,TRUE,DDR5
Corsair Vengeance Rgb 64 Gb (2 X 32 Gb) Ddr5-6400 Cl32,https://pcpartpicker.com/product/Pt88TW/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-cmh64gx5m2b6400c32,32,Black / Gray,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 32GB,CMH64GX5M2B6400C32,3,DDR5-6400,1.4,5,32,40,40,84,TRUE,DDR5
G.Skill Trident Z Rgb 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/ybrcCJ/gskill-tridentz-rgb-16gb-2-x-8gb-ddr4-3200-memory-f4-3200c16d-16gtzr,16,Black,10,288-pin DIMM (DDR4),TRUE,G.Skill,2 x 8GB,F4-3200C16D-16GTZR,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
Corsair Vengeance 32 Gb (2 X 16 Gb) Ddr5-5600 Cl40,https://pcpartpicker.com/product/wzCZxr/corsair-vengeance-32-gb-2-x-16-gb-ddr5-5600-cl40-memory-cmk32gx5m2b5600z40,40,Black / Gray,14.286,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMK32GX5M2B5600Z40,3,DDR5-5600,1.25,5,40,40,40,77,TRUE,DDR5
Teamgroup T-Force Vulcan 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/HNZXsY/teamgroup-t-force-vulcan-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-flbd532g6000hc30dc01,30,Black,10,288-pin DIMM (DDR5),TRUE,Teamgroup,2 x 16GB,FLBD532G6000HC30DC01,3,DDR5-6000,1.35,5,30,36,36,76,TRUE,DDR5
G.Skill Trident Z5 Neo Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/CXKKHx/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5nr,30,Black,10,288-pin DIMM (DDR5),FALSE,G.Skill,2 x 16GB,F5-6000J3038F16GX2-TZ5NR,3,DDR5-6000,1.35,5,30,38,38,96,TRUE,DDR5
Teamgroup T-Create Expert 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/QzP8TW/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ctcwd532g6000hc30dc01,30,White,10,288-pin DIMM (DDR5),TRUE,Teamgroup,2 x 16GB,CTCWD532G6000HC30DC01,3,DDR5-6000,1.35,5,30,36,36,76,TRUE,DDR5
G.Skill Ripjaws V 16 Gb (1 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/VcTrxr/gskill-memory-f43200c16s16gvk,16,Black,10,288-pin DIMM (DDR4),TRUE,G.Skill,1 x 16GB,F4-3200C16S-16GVK,3,DDR4-3200,1.35,4,,,,,TRUE,DDR4
Corsair Vengeance Lpx 16 Gb (2 X 8 Gb) Ddr4-2666 Cl16,https://pcpartpicker.com/product/J27CmG/corsair-memory-cmk16gx4m2a2666c16,16,Black / Yellow,12.003,288-pin DIMM (DDR4),TRUE,Corsair,2 x 8GB,CMK16GX4M2A2666C16,3,DDR4-2666,1.2,4,16,18,18,35,TRUE,DDR4
Patriot Viper 4 Blackout 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/xK3mP6/patriot-viper-4-blackout-16-gb-2-x-8-gb-ddr4-3200-memory-pvb416g320c6k,16,Black,10,288-pin DIMM (DDR4),TRUE,Patriot,2 x 8GB,PVB416G320C6K,3,DDR4-3200,1.35,4,16,18,18,36,TRUE,DDR4
Kingston Hyperx Fury Rgb 32 Gb (2 X 16 Gb) Ddr4-2666 Cl16,https://pcpartpicker.com/product/D4drxr/kingston-hyperx-fury-rgb-32-gb-2-x-16-gb-ddr4-2666-memory-hx426c16fb3ak232,16,Black,12.003,288-pin DIMM (DDR4),TRUE,Kingston,2 x 16GB,HX426C16FB3AK2/32,3,DDR4-2666,1.2,4,,,,,TRUE,DDR4
G.Skill Trident Z5 Rgb 32 Gb (2 X 16 Gb) Ddr5-6400 Cl32,https://pcpartpicker.com/product/RXGbt6/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-f5-6400j3239g16gx2-tz5rk,32,Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-6400J3239G16GX2-TZ5RK,3,DDR5-6400,1.4,5,32,39,39,102,TRUE,DDR5
G.Skill Trident Z5 Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/mhJgXL/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-tz5rk,36,Black,12,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-6000J3636F16GX2-TZ5RK,3,DDR5-6000,1.35,5,36,36,36,96,TRUE,DDR5
Kingston Fury Beast 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/6YfnTW/kingston-fury-beast-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-kf432c16bbk216,16,Black,10,288-pin DIMM (DDR4),TRUE,Kingston,2 x 8GB,KF432C16BBK216,3,DDR4-3200,1.35,4,,,,,TRUE,DDR4
G.Skill Flare X5 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/LBstt6/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-fx5,30,Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-6000J3038F16GX2-FX5,3,DDR5-6000,1.35,5,30,38,38,96,TRUE,DDR5
Teamgroup T-Create Expert 32 Gb (2 X 16 Gb) Ddr5-7200 Cl34,https://pcpartpicker.com/product/gXRwrH/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-ctced532g7200hc34adc01,34,Black,9.444,288-pin DIMM (DDR5),TRUE,Teamgroup,2 x 16GB,CTCED532G7200HC34ADC01,3,DDR5-7200,1.4,5,34,42,42,84,TRUE,DDR5
Patriot Viper Venom Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/kxzhP6/patriot-viper-venom-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-pvvr532g600c36k,36,Black / White,12,288-pin DIMM (DDR5),TRUE,Patriot,2 x 16GB,PVVR532G600C36K,3,DDR5-6000,1.35,5,36,36,36,76,TRUE,DDR5
Corsair Vengeance 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/JkfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000c30,30,Black / Gray,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMK32GX5M2B6000C30,3,DDR5-6000,1.4,5,30,36,36,76,TRUE,DDR5
Corsair Vengeance Rgb 64 Gb (2 X 32 Gb) Ddr5-6000 Cl40,https://pcpartpicker.com/product/NJstt6/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6000-cl40-memory-cmh64gx5m2b6000z40,40,Black,13.333,288-pin DIMM (DDR5),TRUE,Corsair,2 x 32GB,CMH64GX5M2B6000Z40,3,DDR5-6000,1.35,5,40,40,40,77,TRUE,DDR5
G.Skill Trident Z5 Rgb 64 Gb (2 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/3c4Zxr/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5rw,30,White / Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 32GB,F5-6000J3040G32GX2-TZ5RW,3,DDR5-6000,1.4,5,30,40,40,96,TRUE,DDR5
Kingston Fury Beast 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/q7LdnQ/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbek2-32,30,Black,10,288-pin DIMM (DDR5),TRUE,Kingston,2 x 16GB,KF560C30BBEK2-32,3,DDR5-6000,1.4,5,,,,,TRUE,DDR5
G.Skill Flare X5 64 Gb (2 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/6QcgXL/gskill-flare-x5-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-fx5,30,Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 32GB,F5-6000J3040G32GX2-FX5,3,DDR5-6000,1.4,5,30,40,40,96,TRUE,DDR5
Teamgroup T-Force Vulcan Z 16 Gb (2 X 8 Gb) Ddr4-3600 Cl18,https://pcpartpicker.com/product/33pzK8/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-tlzrd416g3600hc18jdc01,18,Red,10,288-pin DIMM (DDR4),TRUE,Teamgroup,2 x 8GB,TLZRD416G3600HC18JDC01,3,DDR4-3600,1.35,4,18,22,22,42,TRUE,DDR4
Corsair Dominator Titanium 48 Gb (2 X 24 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/FcyH99/corsair-dominator-titanium-48-gb-2-x-24-gb-ddr5-6000-cl30-memory-cmp48gx5m2b6000c30,30,Black,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 24GB,CMP48GX5M2B6000C30,3,DDR5-6000,1.4,5,30,36,36,76,TRUE,DDR5
Teamgroup T-Force Delta Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/WFVmP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff4d532g6000hc30dc01,30,White,10,288-pin DIMM (DDR5),TRUE,Teamgroup,2 x 16GB,FF4D532G6000HC30DC01,3,DDR5-6000,1.35,5,30,36,36,76,TRUE,DDR5
G.Skill Trident Z5 Rgb 96 Gb (2 X 48 Gb) Ddr5-6800 Cl34,https://pcpartpicker.com/product/xb26Mp/gskill-trident-z5-rgb-96-gb-2-x-48-gb-ddr5-6800-cl34-memory-f5-6800j3446f48gx2-tz5rk,34,Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 48GB,F5-6800J3446F48GX2-TZ5RK,3,DDR5-6800,1.35,5,34,46,46,108,TRUE,DDR5
Corsair Vengeance Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/QTLFf7/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2d6000c36w,36,White,12,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMH32GX5M2D6000C36W,3,DDR5-6000,1.35,5,36,36,36,76,TRUE,DDR5
Kingston Fury Beast Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/LjFmP6/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bweak2-32,30,White,10,288-pin DIMM (DDR5),TRUE,Kingston,2 x 16GB,KF560C30BWEAK2-32,3,DDR5-6000,1.4,5,,,,,TRUE,DDR5
Corsair Vengeance Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/KXV2FT/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36w,36,White / Silver,12,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMH32GX5M2E6000C36W,3,DDR5-6000,1.4,5,36,44,44,96,TRUE,DDR5
Corsair Vengeance Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/mjt9TW/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmh32gx5m2b6000z30k,30,Gray,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMH32GX5M2B6000Z30K,3,DDR5-6000,1.4,5,30,36,36,76,TRUE,DDR5
G.Skill Ripjaws M5 Neo Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/sNNscf/gskill-ripjaws-m5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3648d16gx2-rm5nrw,36,White,12,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-6000J3648D16GX2-RM5NRW,3,DDR5-6000,1.25,5,36,48,48,96,TRUE,DDR5
Teamgroup T-Force Delta Rgb 64 Gb (2 X 32 Gb) Ddr5-5600 Cl36,https://pcpartpicker.com/product/3v6NnQ/teamgroup-t-force-delta-rgb-64-gb-2-x-32-gb-ddr5-5600-cl36-memory-ff3d564g5600hc36bdc01,36,Black,12.857,288-pin DIMM (DDR5),TRUE,Teamgroup,2 x 32GB,FF3D564G5600HC36BDC01,3,DDR5-5600,1.3,5,36,36,36,76,TRUE,DDR5
Kingston Fury Renegade 96 Gb (2 X 48 Gb) Ddr5-6000 Cl32,https://pcpartpicker.com/product/yHMMnQ/kingston-fury-renegade-96-gb-2-x-48-gb-ddr5-6000-cl32-memory-kf560c32rsk2-96,32,Silver / Black,10.667,288-pin DIMM (DDR5),TRUE,Kingston,2 x 48GB,KF560C32RSK2-96,3,DDR5-6000,1.35,5,,,,,TRUE,DDR5
Teamgroup T-Force Xtreem Argb 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/DJRYcf/team-t-force-xtreem-argb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf13d416g3200hc16cdc01,16,White,10,288-pin DIMM (DDR4),TRUE,Teamgroup,2 x 8GB,TF13D416G3200HC16CDC01,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
Corsair Vengeance Rgb Pro 16 Gb (2 X 8 Gb) Ddr4-3000 Cl15,https://pcpartpicker.com/product/mLQG3C/corsair-vengeance-rgb-pro-16-gb-2-x-8-gb-ddr4-3000-memory-cmw16gx4m2c3000c15w,15,White,10,288-pin DIMM (DDR4),TRUE,Corsair,2 x 8GB,CMW16GX4M2C3000C15W,3,DDR4-3000,1.35,4,15,15,15,36,TRUE,DDR4
Kingston Hyperx Fury 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/QBrYcf/kingston-hyperx-fury-16-gb-2-x-8-gb-ddr4-3200-memory-hx432c16fb3k216,16,Black / Silver,10,288-pin DIMM (DDR4),TRUE,Kingston,2 x 8GB,HX432C16FB3K2/16,3,DDR4-3200,1.35,4,,,,,TRUE,DDR4
G.Skill Flare X5 16 Gb (1 X 16 Gb) Ddr5-5600 Cl36,https://pcpartpicker.com/product/Jfrqqs/gskill-flare-x5-16-gb-1-x-16-gb-ddr5-5600-cl36-memory-f5-5600j3636c16gx1-fx5,36,Black,12.857,288-pin DIMM (DDR5),TRUE,G.Skill,1 x 16GB,F5-5600J3636C16GX1-FX5,3,DDR5-5600,1.1,5,36,36,36,89,TRUE,DDR5
G.Skill Trident Z5 Rgb 48 Gb (2 X 24 Gb) Ddr5-8000 Cl40,https://pcpartpicker.com/product/2QGhP6/gskill-trident-z5-rgb-48-gb-2-x-24-gb-ddr5-8000-cl40-memory-f5-8000j4048f24gx2-tz5rw,40,White / Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 24GB,F5-8000J4048F24GX2-TZ5RW,3,DDR5-8000,1.35,5,40,48,48,128,TRUE,DDR5
Corsair Vengeance 64 Gb (2 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/8ZQKHx/corsair-vengeance-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmk64gx5m2b6000c30,30,Black / Gray,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 32GB,CMK64GX5M2B6000C30,3,DDR5-6000,1.4,5,30,36,36,76,TRUE,DDR5
G.Skill Trident Z5 Rgb 64 Gb (2 X 32 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/qXkH99/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6000-cl36-memory-f5-6000j3636f32gx2-tz5rk,36,Black,12,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 32GB,F5-6000J3636F32GX2-TZ5RK,3,DDR5-6000,1.35,5,36,36,36,96,TRUE,DDR5
Corsair Dominator Platinum Rgb 64 Gb (2 X 32 Gb) Ddr5-5200 Cl40,https://pcpartpicker.com/product/ZZD7YJ/corsair-dominator-platinum-rgb-64-gb-2-x-32-gb-ddr5-5200-cl40-memory-cmt64gx5m2b5200c40,40,Black,15.385,288-pin DIMM (DDR5),TRUE,Corsair,2 x 32GB,CMT64GX5M2B5200C40,3,DDR5-5200,1.25,5,40,40,40,77,TRUE,DDR5
Corsair Vengeance 64 Gb (2 X 32 Gb) Ddr5-6000 Cl38,https://pcpartpicker.com/product/QhbRsY/corsair-vengeance-64-gb-2-x-32-gb-ddr5-6000-cl38-memory-cmk64gx5m2b6000c38,38,Black,12.667,288-pin DIMM (DDR5),TRUE,Corsair,2 x 32GB,CMK64GX5M2B6000C38,3,DDR5-6000,1.35,5,38,44,44,96,TRUE,DDR5
