Build Title,Component,Product Name,Link
1440p and 4k PC Build 2023 - 2024,Power Supply,Unknown,https://pcpartpicker.com/product/KLgFf7/be-quiet-pure-power-11-fm-850-w-80-gold-certified-fully-modular-atx-power-supply-bn675
1st Build,Power Supply,Unknown,https://pcpartpicker.com/product/jtm323/corsair-rm850-2019-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020196-na
1st Build - AM5 for the future,Power Supply,Unknown,https://pcpartpicker.com/product/VTgFf7/gigabyte-ud850gm-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud850gm
1st Build with Upgrades,Power Supply,Unknown,https://pcpartpicker.com/product/N6X2FT/evga-supernova-550-gs-550-w-80-gold-certified-fully-modular-atx-power-supply-220-gs-0550-v1
1st Gaming PC Build,Power Supply,Unknown,https://pcpartpicker.com/product/43JgXL/nzxt-c1000-2022-1000-w-80-gold-certified-fully-modular-atx-power-supply-pa-0g1bb-us
1st custom build,Power Supply,Unknown,https://pcpartpicker.com/product/jfHp99/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020295-na
1st pc,Power Supply,Unknown,https://pcpartpicker.com/product/26rRsY/corsair-rm850x-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na
2-Tone NZXT H6 FLOW: Gaming PC,Power Supply,Unknown,https://pcpartpicker.com/product/bNBzK8/seasonic-focus-gx-850-atx-30-850-w-80-gold-certified-fully-modular-atx-power-supply-atx3-focus-gx-850
2017 Intel Core i7-7700K Build,Power Supply,Unknown,https://pcpartpicker.com/product/dMM323/evga-supernova-750-g3-750-w-80-gold-certified-fully-modular-atx-power-supply-220-g3-0750
2018 build,Case,Unknown,https://pcpartpicker.com/product/Fj38TW/cooler-master-masterbox-lite-5-rgb-atx-mid-tower-case-mcw-l5s3-kgnn-02
2018 build,Power Supply,Unknown,https://pcpartpicker.com/product/2HbwrH/corsair-rm650x-2018-650-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020178-na
2020 2nd PC Build,Power Supply,Unknown,https://pcpartpicker.com/product/2HbwrH/corsair-rm650x-2018-650-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020178-na
2021 mid-range gaming build,Power Supply,Unknown,https://pcpartpicker.com/product/J6gFf7/corsair-tx750m-750-w-80-gold-certified-semi-modular-atx-power-supply-cp-9020230-eu
2022 Build,Power Supply,Unknown,https://pcpartpicker.com/product/Pjzv6h/rosewill-power-supply-capstone650m
2022 build,Power Supply,Unknown,https://pcpartpicker.com/product/26rRsY/corsair-rm850x-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na
2022 build looking to Upgrade eventually,Motherboard,Missing,No Link
2022 build looking to Upgrade eventually,Power Supply,Unknown,https://pcpartpicker.com/product/W2zXsY/seasonic-focus-gx-1000-atx-30-1000-w-80-gold-certified-fully-modular-atx-power-supply-atx3-focus-gx-1000
2022 build looking to Upgrade eventually,Storage,Missing,No Link
2022 updated pc,Power Supply,Unknown,https://pcpartpicker.com/product/xLs8TW/evga-750-bq-750-w-80-bronze-certified-semi-modular-atx-power-supply-110-bq-0750-v1
2023 Build,Power Supply,Unknown,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na
2024 AMD Ryzen System,Case,Missing,No Link
2024 AMD Ryzen System,Power Supply,Unknown,https://pcpartpicker.com/product/p34Zxr/deepcool-px1000g-1000-w-80-gold-certified-fully-modular-atx-power-supply-r-pxa00g-fc0b-us
2024 Gaming PC,Case,Missing,No Link
2024 Gaming PC,Power Supply,Unknown,https://pcpartpicker.com/product/nJrmP6/corsair-sf750-2018-750-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020186-na
2024 Roblox box,Case,Missing,No Link
2024 Roblox box,Power Supply,Unknown,https://pcpartpicker.com/product/mBYRsY/in-win-p105ii-1050-w-80-platinum-certified-fully-modular-atx-power-supply-iw-ps-pii1050w
2024 build,Case,Unknown,https://pcpartpicker.com/product/4fhFf7/corsair-7000d-airflow-atx-mid-tower-case-cc-9011218ww
2024 build,Power Supply,Unknown,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na
2024/2025 Gaming PC under 3k €,Power Supply,Unknown,https://pcpartpicker.com/product/TRfp99/corsair-hx1000i-1000-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020074
202406 Build,Power Supply,Unknown,https://pcpartpicker.com/product/ZkpzK8/asus-rog-thor-p2-gaming-eva-edition-1000-w-80-platinum-certified-fully-modular-atx-power-supply-90ye00l3-b0aa00
"2025 - Kronos III - RTX 5080, 7800X3D, x870, 4K@240hz, OLED, PCIe 5.0, DDR5",Power Supply,Unknown,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na
2025 FormD T1 Build,Case,Missing,No Link
2025 RTX 5090 + 9950X3D Build,Memory,Missing,No Link
2025 Snowman Build,Power Supply,Unknown,https://pcpartpicker.com/product/dMM323/evga-supernova-750-g3-750-w-80-gold-certified-fully-modular-atx-power-supply-220-g3-0750
2025 Streaming PC (9800X3D / RX 9070 XT),Power Supply,Unknown,https://pcpartpicker.com/product/vY4Zxr/corsair-rm850x-2024-850-w-fully-modular-atx-power-supply-cp-9020270-na
2025 White AMD Build,Power Supply,Unknown,https://pcpartpicker.com/product/9KGbt6/corsair-rm850-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020232-na
2025-AM5-9900X3D-4080S,Power Supply,Unknown,https://pcpartpicker.com/product/nQJkcf/corsair-hx1000-platinum-1000-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020139-na
205m mesh build,Power Supply,Unknown,https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257
2nd Build,Power Supply,Unknown,https://pcpartpicker.com/product/bYKscf/deepcool-dq850m-v3l-850-w-80-gold-certified-fully-modular-atx-power-supply-r-dq850m-fb0b-us
2nd Build Final Revision,Power Supply,Unknown,https://pcpartpicker.com/product/bYKscf/deepcool-dq850m-v3l-850-w-80-gold-certified-fully-modular-atx-power-supply-r-dq850m-fb0b-us
2nd PC (upgraded),Memory,Missing,No Link
2nd PC [AU],Power Supply,Unknown,https://pcpartpicker.com/product/F4yqqs/corsair-cx750f-750-w-80-bronze-certified-fully-modular-atx-power-supply-cp-9020227-na
3000D AM5 Workstation,Power Supply,Unknown,https://pcpartpicker.com/product/vY4Zxr/corsair-rm850x-2024-850-w-fully-modular-atx-power-supply-cp-9020270-na
4.3L ITX PC (Silver),Case,Missing,No Link
4.3L ITX PC (Silver),Power Supply,Missing,No Link
5080 NCASE M2 (SFF) gaming rig,Case,Missing,No Link
5080 NCASE M2 (SFF) gaming rig,Power Supply,Unknown,https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257
5090 Aorus Master Rig,Power Supply,Unknown,https://pcpartpicker.com/product/7tZzK8/evga-supernova-1600-g-1600-w-80-gold-certified-fully-modular-atx-power-supply-220-gp-1600-x1
5090 PC build 2025,Power Supply,Unknown,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na
5090+9800X3D Gaming beast,Power Supply,Unknown,https://pcpartpicker.com/product/GMbRsY/corsair-sf1000l-1000-w-80-gold-certified-fully-modular-sfx-power-supply-cp-9020246-na
5700XT Built,Power Supply,Unknown,https://pcpartpicker.com/product/Wbhj4D/thermaltake-smart-500-w-80-certified-atx-power-supply-ps-spd-0500npcwus-w
7600X3D + 9070 XT build finally complete,Power Supply,Unknown,https://pcpartpicker.com/product/6NcG3C/corsair-rm750x-2021-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020199-na
7700x 7800xt build my new pc build,Case,Missing,No Link
7800X3D + 4080 Super Gaming Build,Power Supply,Unknown,https://pcpartpicker.com/product/RHfnTW/nzxt-c1200-1200-w-80-gold-certified-fully-modular-atx-power-supply-pa-2g1bb-us
7800x3d / 7900xt mATX Fish Tank build,Power Supply,Unknown,https://pcpartpicker.com/product/NWstt6/deepcool-pq-m-850-w-80-gold-certified-fully-modular-atx-power-supply-r-pq850m-fa0b-us
7900x x 7900xtx,Power Supply,Unknown,https://pcpartpicker.com/product/LjM48d/deepcool-pq-m-1000-w-80-gold-certified-fully-modular-atx-power-supply-r-pqa00m-fa0b-us
7900xtx build,Case,Missing,No Link
8 Years later,Power Supply,Unknown,https://pcpartpicker.com/product/h7Nypg/thermaltake-toughpower-grand-rgb-850w-80-gold-certified-fully-modular-atx-power-supply-ps-tpg-0850fpcgus-r
8 year old build for dad,Power Supply,Unknown,https://pcpartpicker.com/product/vr9tt6/cooler-master-v-sfx-gold-750-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-7501-sfhagv-us
9070 XT Montech XR 1440p Gaming Build,Power Supply,Unknown,https://pcpartpicker.com/product/vY4Zxr/corsair-rm850x-2024-850-w-fully-modular-atx-power-supply-cp-9020270-na
9070XT Accidential contrast,Power Supply,Unknown,https://pcpartpicker.com/product/9KGbt6/corsair-rm850-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020232-na
9800x3D 2025,Power Supply,Unknown,https://pcpartpicker.com/product/LCfp99/evga-supernova-850-g2-850-w-80-gold-certified-fully-modular-atx-power-supply-220-g2-0850-xr
9950X3D and RTX 5090 Gaming / Productivity Powerhouse - Quiet Too!,Video Card,Missing,No Link
A Good Bro Upgrade,Power Supply,Unknown,https://pcpartpicker.com/product/3gJmP6/evga-supernova-650-g5-650-w-80-gold-certified-fully-modular-atx-power-supply-220-g5-0650-x1
A New Era (2) with 5090 / 9800X3D / 64GB / 4TB / ITX,Power Supply,Unknown,https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257
A PC for a kid - mission: make it glow!,Case,Missing,No Link
A PC for a kid - mission: make it glow!,Power Supply,Unknown,https://pcpartpicker.com/product/F4yqqs/corsair-cx750f-750-w-80-bronze-certified-fully-modular-atx-power-supply-cp-9020227-na
A Tight Squeeze,Storage,Missing,No Link
A build(7800xt/9700x) for a friend of my cousin.,Power Supply,Unknown,https://pcpartpicker.com/product/K6wmP6/nzxt-c1000-2024-1000-w-80-gold-certified-fully-modular-atx-power-supply-pa-0g2bb-us
A pc build,Case,Missing,No Link
AJVTX-PC,Power Supply,Unknown,https://pcpartpicker.com/product/ZCQcCJ/nzxt-c750-2022-750-w-80-gold-certified-fully-modular-atx-power-supply-pa-7g1bb-us
AM4 budget final build,Power Supply,Missing,No Link
AM4's Last Stand,Power Supply,Unknown,https://pcpartpicker.com/product/jRvdnQ/corsair-rm1000x-2021-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020201-na
AM5 upgrade for the future,Power Supply,Unknown,https://pcpartpicker.com/product/RHfnTW/nzxt-c1200-1200-w-80-gold-certified-fully-modular-atx-power-supply-pa-2g1bb-us
AMD 2024 1440p price to performance build USA,Power Supply,Unknown,https://pcpartpicker.com/product/43JgXL/nzxt-c1000-2022-1000-w-80-gold-certified-fully-modular-atx-power-supply-pa-0g1bb-us
AMD 2025 Refresh,Power Supply,Unknown,https://pcpartpicker.com/product/jRvdnQ/corsair-rm1000x-2021-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020201-na
AMD 9070 XT Build,Power Supply,Unknown,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na
AMD Office PC and Minecraft Server,Power Supply,Unknown,https://pcpartpicker.com/product/H8V48d/fsp-group-fsp300-60ghs85-300-w-80-bronze-certified-sfx-power-supply-fsp300-60ghs85
AMD Office PC and Minecraft Server,Video Card,Missing,No Link
AMD Ryzen 5 7500F + Intel ARC A750 Build,Power Supply,Unknown,https://pcpartpicker.com/product/c6rqqs/deepcool-pk600d-600-w-80-bronze-certified-atx-power-supply-r-pk600d-fa0b-us
AMD Ryzen 9 5950X Robust Work PC,Memory,Missing,No Link
AMD Ryzen 9 5950X Robust Work PC,Power Supply,Unknown,https://pcpartpicker.com/product/JPMMnQ/corsair-rm750x-2024-750-w-fully-modular-atx-power-supply-cp-9020285-na
AMD Ryzen 9 9900X + RTX 5080 👽 Build full ASUS TUF GAMING PC + Test 1080p 1440p 2160p,Power Supply,Unknown,https://pcpartpicker.com/product/MLzhP6/asus-tuf-gaming-850g-850-w-80-gold-certified-fully-modular-atx-power-supply-90ye00s2-b0na00
AMD Work Station Ryzen 7 9700X / Radeon RX 9070,Power Supply,Unknown,https://pcpartpicker.com/product/B8YfrH/corsair-rm1000e-2025-1000-w-fully-modular-atx-power-supply-cp-9020297-na
AMD Work Station Ryzen 7 9700X / Radeon RX 9070,Video Card,Missing,No Link
AMD's Nightmare,Power Supply,Unknown,https://pcpartpicker.com/product/nCpQzy/asrock-steel-legend-sl-850g-850-w-80-gold-certified-fully-modular-atx-power-supply-sl-850g
ASUS has been FRAME(4000)D,Power Supply,Unknown,https://pcpartpicker.com/product/QTLdnQ/nzxt-c1200-2024-1200-w-80-gold-certified-fully-modular-atx-power-supply-pa-2g2bb-us
AYL final build 2024,Power Supply,Unknown,https://pcpartpicker.com/product/6NcG3C/corsair-rm750x-2021-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020199-na
Aestethics Black $600,Case,Missing,No Link
Aircooling 2025,Power Supply,Unknown,https://pcpartpicker.com/product/fGBzK8/asrock-steel-legend-sl-850gw-850-w-80-gold-certified-fully-modular-atx-power-supply-sl-850gw
Airflow fordays,Power Supply,Unknown,https://pcpartpicker.com/product/26rRsY/corsair-rm850x-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na
Aleph 1,Power Supply,Unknown,https://pcpartpicker.com/product/YF4Ycf/evga-supernova-850-gt-850-w-80-gold-certified-fully-modular-atx-power-supply-220-gt-0850-y1
Aleph 1,Video Card,Missing,No Link
Alexanders (KJ) Gaming PC with R5-5600/16GB-D4/1TB/6650XT,Case,Missing,No Link
AliExpress Mobo,Case,Missing,No Link
AliExpress Mobo,Motherboard,Missing,No Link
All Black AMD,Power Supply,Unknown,https://pcpartpicker.com/product/MgYmP6/corsair-rm850x-shift-850-w-80-gold-certified-fully-modular-side-interface-atx-power-supply-cp-9020252-na
All Intel,Power Supply,Unknown,https://pcpartpicker.com/product/Yk448d/thermaltake-smart-bx1-650-650-w-80-bronze-certified-atx-power-supply-ps-spd-0650nnfabu-1
All White 9070 XT Terrarium Spaceship,Power Supply,Unknown,https://pcpartpicker.com/product/9KGbt6/corsair-rm850-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020232-na
All White Gaming PC | R5 7600 | 4060 Ti,Power Supply,Unknown,https://pcpartpicker.com/product/W4Tp99/gigabyte-ud750gm-750-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud750gm
"All White, (Very Original), PC Build (First Ever Build)",Power Supply,Unknown,https://pcpartpicker.com/product/xLn9TW/in-win-a55-550-w-80-certified-atx-power-supply-iw-a550
All white(ish) Build,Power Supply,Unknown,https://pcpartpicker.com/product/9KGbt6/corsair-rm850-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020232-na
Ancalagon the Black,Power Supply,Unknown,https://pcpartpicker.com/product/64NYcf/seasonic-prime-tx-1600-atx-30-1600-w-80-titanium-certified-fully-modular-atx-power-supply-atx3-prime-tx-1600
Another Black/Write Monk Build,Case,Unknown,https://pcpartpicker.com/product/PgbTwP/lian-li-o11-dynamic-mini-snow-edition-atx-mid-tower-case-o11d-mini-s
Another Black/Write Monk Build,Power Supply,Unknown,https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257
Another CX200M LCD AIO,Power Supply,Unknown,https://pcpartpicker.com/product/GBjRsY/deepcool-pk650d-650-w-80-bronze-certified-atx-power-supply-r-pk650d-fa0b-us
Another build of mine!,Power Supply,Unknown,https://pcpartpicker.com/product/qWWzK8/silverstone-hela-1200r-1200-w-80-platinum-certified-fully-modular-atx-power-supply-sst-ha1200r-pm
Aperio Mini ITX V2,Case,Missing,No Link
Aperio Mini ITX V2,Power Supply,Unknown,https://pcpartpicker.com/product/GQX2FT/evga-450-bt-450-w-80-bronze-certified-atx-power-supply-100-bt-0450-k1
Apollo - The Sixth Build,Case,Unknown,https://pcpartpicker.com/product/p7tLrH/antec-c8-wood-atx-mid-tower-case-0-761345-10079-3
Apollo - The Sixth Build,Power Supply,Unknown,https://pcpartpicker.com/product/bGJp99/corsair-rm750x-shift-750-w-80-gold-certified-fully-modular-side-interface-atx-power-supply-cp-9020251-na
Arc B580 White Build,Case,Missing,No Link
Arc B580 White Build,Power Supply,Missing,No Link
Ariat357's Build,Power Supply,Unknown,https://pcpartpicker.com/product/rt8H99/evga-750-gq-750-w-80-gold-certified-semi-modular-atx-power-supply-210-gq-0750
Astheticly Pleasing 5070 Ti Build,Case,Missing,No Link
Astheticly Pleasing 5070 Ti Build,Power Supply,Unknown,https://pcpartpicker.com/product/vY4Zxr/corsair-rm850x-2024-850-w-fully-modular-atx-power-supply-cp-9020270-na
Astral Tank,Case,Missing,No Link
Asus Prime AP201 Micro Atx,Video Card,Missing,No Link
Aurora,Power Supply,Unknown,https://pcpartpicker.com/product/43JgXL/nzxt-c1000-2022-1000-w-80-gold-certified-fully-modular-atx-power-supply-pa-0g1bb-us
Aurora Infinity,Memory,Missing,No Link
Autodesk Maya Budget Build,Power Supply,Unknown,https://pcpartpicker.com/product/nQ4gXL/cooler-master-power-supply-rsa50sphad3
BLACK BEAST 7800x3D & 4070 SUPER Founders Edition & 64GB RAM,Power Supply,Unknown,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na
BM Contrast Build 2024,Power Supply,Unknown,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na
Battlestation '25,Power Supply,Unknown,https://pcpartpicker.com/product/fGgrxr/corsair-hx1200i-1200-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020281-na
Best M-ATX,Power Supply,Unknown,https://pcpartpicker.com/product/TsTZxr/corsair-sf750-2024-750-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020284
Betelgeuse,Power Supply,Missing,No Link
Big Bank Flex,Power Supply,Unknown,https://pcpartpicker.com/product/LMn9TW/corsair-rm1200x-shift-1200-w-80-gold-certified-fully-modular-side-interface-atx-power-supply-cp-9020254-na
Big J Hand-Me-Down,Power Supply,Unknown,https://pcpartpicker.com/product/MfvZxr/evga-450-b1-450-w-80-bronze-certified-atx-power-supply-100-b1-0450-k1
Black & White - No RGB,Power Supply,Unknown,https://pcpartpicker.com/product/JPMMnQ/corsair-rm750x-2024-750-w-fully-modular-atx-power-supply-cp-9020285-na
Black CX200M Build,Power Supply,Missing,No Link
Bouli's new PC,Motherboard,Unknown,https://pcpartpicker.com/product/pTbTwP/asrock-b760m-pro-rs-micro-atx-lga1700-motherboard-b760m-pro-rs
Bouli's new PC,Video Card,Missing,No Link
Bright Black Build,Video Card,Unknown,https://pcpartpicker.com/product/Fq26Mp/gigabyte-gaming-oc-radeon-rx-7900-gre-16-gb-video-card-gv-r79gregaming-oc-16gd
Bubblgum,Video Card,Unknown,https://pcpartpicker.com/product/pLP8TW/galax-ex-gamer-pink-geforce-rtx-4070-12-gb-video-card-47nom7md7lpk
Budget 550€ Build,Video Card,Unknown,https://pcpartpicker.com/product/JVWrxr/msi-geforce-gtx-1060-6gb-gaming-x-video-card-geforce-gtx-1060-gaming-x-6g
Budget Build for my son (hand me down/used parts),Motherboard,Unknown,https://pcpartpicker.com/product/wbBhP6/gigabyte-b450m-ds3h-v2-micro-atx-am4-motherboard-b450m-ds3h-v2
Budget First Build,Video Card,Unknown,https://pcpartpicker.com/product/r9cgXL/gigabyte-windforce-oc-geforce-rtx-4060-8-gb-video-card-gv-n4060wf2oc-8gd
Budget Gaming: i7-7700 Z170N-itx 32GB M2:500GB GTX1060-6GB SFX500W mITX case,Video Card,Unknown,https://pcpartpicker.com/product/tJyxFT/evga-geforce-gtx-1060-6gb-sc-gaming-video-card-06g-p4-6163-kr
Budget PC,Case,Unknown,https://pcpartpicker.com/product/DLjRsY/apnx-creator-c1-atx-mid-tower-case-apnx-c1-wh
Budget PC,Video Card,Unknown,https://pcpartpicker.com/product/Z2kwrH/msi-geforce-gtx-1060-6gb-6gb-ocv1-video-card-geforce-gtx-1060-6g-ocv1
Budget Rx7700xt build,Video Card,Unknown,https://pcpartpicker.com/product/kPvD4D/asrock-steel-legend-oc-radeon-rx-7700-xt-12-gb-video-card-rx7700xt-sl-12go
Budget beast,Power Supply,Unknown,https://pcpartpicker.com/product/zBbypg/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020296-na
"Budget, Intel, Gtx",Power Supply,Unknown,https://pcpartpicker.com/product/LZMTwP/gigabyte-p-b-450-w-80-bronze-certified-atx-power-supply-gp-p450b
Build 1.0,Power Supply,Unknown,https://pcpartpicker.com/product/6JFbt6/corsair-rm750e-2022-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020248-na
Build III: Ryzen 5600GT Radeon Graphics iGPU,Case,Unknown,https://pcpartpicker.com/product/wvmmP6/montech-air-100-argb-microatx-mid-tower-case-air-100-argb-white
Build III: Ryzen 5600GT Radeon Graphics iGPU,Power Supply,Unknown,https://pcpartpicker.com/product/BtrYcf/evga-650-b5-650-w-80-bronze-certified-fully-modular-atx-power-supply-220-b5-0650-v1
Build III: Ryzen 5600GT Radeon Graphics iGPU,Video Card,Missing,No Link
Build complete!,Power Supply,Unknown,https://pcpartpicker.com/product/fxGhP6/corsair-rm1000e-2023-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020264-na
Build for Kevin - 2025 Edition,Case,Unknown,https://pcpartpicker.com/product/NpVG3C/thermaltake-view-51-snow-argb-edition-atx-full-tower-case-ca-1q6-00m6wn-00
Build for L,Power Supply,Unknown,https://pcpartpicker.com/product/v6gzK8/cooler-master-mwe-gold-750-w-80-gold-certified-fully-modular-atx-power-supply-mpy-7501-afaag-us
Build for Max,Power Supply,Unknown,https://pcpartpicker.com/product/Wbhj4D/thermaltake-smart-500-w-80-certified-atx-power-supply-ps-spd-0500npcwus-w
Build for Max,Storage,Missing,No Link
Built Me A Rig,Power Supply,Unknown,https://pcpartpicker.com/product/6NcG3C/corsair-rm750x-2021-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020199-na
Bunny's Build,Case,Unknown,https://pcpartpicker.com/product/kczXsY/thermaltake-the-tower-300-hydrangea-microatx-mini-tower-case-ca-1y4-00sfwn-00
C8 Curve - Corsair - 9800X3D Build,Case,Unknown,https://pcpartpicker.com/product/xX9wrH/antec-c8-curve-wood-atx-mid-tower-case-0-761345-10158-5
CAD Machine,Power Supply,Unknown,https://pcpartpicker.com/product/LYP8TW/asrock-steel-legend-sl-650g-650-w-80-gold-certified-fully-modular-atx-power-supply-sl-650g
CAD Office build,Video Card,Missing,No Link
CAPTAIN BARNES,Power Supply,Unknown,https://pcpartpicker.com/product/jRvdnQ/corsair-rm1000x-2021-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020201-na
CORTEX - First Build,Power Supply,Unknown,https://pcpartpicker.com/product/jRvdnQ/corsair-rm1000x-2021-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020201-na
CableZilla,Case,Missing,No Link
CableZilla,Memory,Missing,No Link
CableZilla,Power Supply,Unknown,https://pcpartpicker.com/product/XzQfrH/cooler-master-v550-gold-v2-550-w-80-gold-certified-fully-modular-atx-power-supply-mpy-550v-afbag
CableZilla,Video Card,Missing,No Link
Capper 1.0 (2020),Power Supply,Unknown,https://pcpartpicker.com/product/XRmxFT/thermaltake-toughpower-grand-rgb-750w-80-gold-certified-fully-modular-atx-power-supply-ps-tpg-0750fpcgus-r
Carlos’s First PC Build,Case,Unknown,https://pcpartpicker.com/product/6qFKHx/corsair-icue-4000x-rgb-atx-mid-tower-case-cc-9011204-ww
Carlos’s First PC Build,Power Supply,Unknown,https://pcpartpicker.com/product/26rRsY/corsair-rm850x-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na
Cheap build,Power Supply,Unknown,https://pcpartpicker.com/product/HvTmP6/evga-430-w1-430-w-80-certified-atx-power-supply-100-w1-0430-kr
Chiral Ocelot,Power Supply,Unknown,https://pcpartpicker.com/product/qDLdnQ/nzxt-c850-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-pa-8g2bb-us
